Gene_id,Sheep,Camel,Pig,Lesser-mouse-deer,Pronghorn,Giraffe,Forest-musk-deer,Cattle,Goat,Sika-deer,Rein-deer,Hippo,Killer-whale,Tapir
gene145,506,428,383,445,467,480,484,476,494,488,481,439,442,425
gene130,812,691,684,721,764,768,770,785,796,767,758,706,727,684
gene170,774,0,0,684,733,741,0,757,766,746,749,671,687,0
gene168,1113,991,977,1030,1062,1072,1079,1079,1102,1064,1064,996,1006,995
gene133,3085,2635,2611,2731,2889,2934,2919,2982,3043,2950,2953,2751,2722,2627
gene149,594,578,576,579,589,592,589,590,593,585,587,580,583,581
gene134,1511,1371,1379,1395,1444,1446,1460,1475,1499,1468,1460,1400,1399,1365
gene174,558,495,500,521,547,550,551,550,555,549,551,518,514,502
gene138,1160,1065,1038,1057,1113,1115,1108,1122,1150,1116,1113,1078,1075,1056
gene163,540,487,489,483,529,525,513,527,538,529,527,496,489,497
gene142,1632,1518,1521,1544,1385,1599,1602,1599,1622,1594,1593,1523,1515,1502
gene161,914,0,0,0,0,0,0,0,0,0,0,0,0,0
gene131,1174,1039,1021,1036,1093,1110,1125,1130,1148,1110,1109,1021,1054,1004
gene136,2324,2198,2173,2189,2248,2279,2276,2289,2306,2274,2270,2212,2204,2156
gene153,873,819,815,817,840,849,851,854,863,852,847,828,825,810
gene151,995,909,902,934,952,965,974,981,993,961,962,926,915,894
gene200,939,864,843,874,905,0,912,916,926,906,910,862,0,843
gene196,942,0,0,0,0,0,886,892,925,0,0,0,0,0
