tau	chr	start	end	name	Kidney	Salivary-gland	Spleen	Heart	Jejunum	Horn	Ileum	Bone-marrow	Skin	Blood	Brain	Testis	Adipose	Duodenal	Rumen	Muscle
1.00000	12	26697621	26710929	MSTRG.10197.1	0.0	0.0	0.0	3.222905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10954	0.0
1.00000	12	26707419	26710929	MSTRG.10197.2	0.0	0.0	0.0	1.039879	0.0	0.147432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.505589
1.00000	12	27577836	27581849	MSTRG.10204.1	0.097616	0.0	0.0	0.309121	0.0	0.15002	0.0	0.0	0.0	0.0	0.171273	0.390331	0.0	0.0	3.407368	0.0
0.98997	12	27587489	27623721	MSTRG.10205.1	0.795338	0.0	0.0	2.638286	0.173531	0.225228	0.479249	0.5992	0.771392	0.185704	0.837351	1.157169	0.442366	0.412946	0.999275	0.0
0.97564	12	27616300	27623721	MSTRG.10205.2	0.274832	0.185015	0.0	2.790654	0.51059	0.106291	0.533826	0.551576	0.0	0.209657	1.014984	1.303968	0.335114	0.222113	1.09932	0.493067
NA	12	29758781	29778117	MSTRG.10236.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.143529	0.039836	0.0	0.0	0.242812	0.0
0.94900	12	30431543	30435533	MSTRG.10246.1	0.060718	0.0	0.418876	0.0	0.050909	0.351395	1.095179	0.0	0.0416	0.0	1.072024	0.07358	0.105494	0.0	0.540911	0.0
1.00000	12	30434228	30435533	MSTRG.10246.2	0.0	0.0	0.0	0.0	0.0	0.038279	0.016633	0.0	0.0	0.0	1.16971	0.0	0.0	0.045628	0.0	0.0
0.98744	12	30613933	30618659	MSTRG.10265.1	0.0	0.0	0.0	1.27209	0.224513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.046402	0.0
1.00000	12	30857562	30858222	MSTRG.10270.1	0.0	0.0	0.0	0.0	0.180988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.480131	0.0
1.00000	12	28423059	28438195	MSTRG.10272.1	0.0	0.024285	0.259129	0.075892	0.83972	0.0	0.090761	0.0	0.488344	0.439675	0.203803	0.466312	0.127908	0.07722	4.9082	0.0
0.89248	12	28629374	28653057	MSTRG.10273.16	0.366947	0.14807	0.776601	0.198884	1.265407	0.255703	0.816354	1.252089	0.656248	1.124901	0.316245	0.3908	0.524448	0.41511	1.367571	1.737443
0.91795	12	28594811	28604182	MSTRG.10274.1	0.517708	0.042476	0.876859	1.529929	3.074327	0.177544	0.218505	0.475972	0.341947	0.260752	1.914839	0.157901	0.361291	0.74345	1.35978	0.240835
NA	12	28748869	28766643	MSTRG.10276.12	0.0	0.0	0.0	0.0	0.151312	0.0	0.003704	0.0	0.0	0.0	0.0	0.088804	0.0	0.0	0.172857	0.0
NA	12	28748979	28762154	MSTRG.10276.13	0.021043	0.0	0.0	0.0	0.218203	0.017008	0.0	0.0	0.014976	0.0	0.0	0.026819	0.0	0.01528	0.286504	0.0
NA	12	28748988	28780032	MSTRG.10276.14	0.0281	0.020728	0.047491	0.020584	0.0	0.0	0.067261	0.340129	0.062678	0.159377	0.025932	0.040923	0.021905	0.022779	0.57139	0.041542
NA	12	28748993	28766643	MSTRG.10276.15	0.086896	0.020557	0.0	0.043931	0.0	0.06902	0.0	0.133117	0.072426	0.0311	0.13432	0.366437	0.016284	0.059218	0.239635	0.0
NA	12	28751005	28759722	MSTRG.10276.17	0.096785	0.456762	0.162648	0.26735	0.277732	0.060318	0.030317	0.480585	0.148054	0.0114	0.291732	0.177486	0.285702	0.144798	0.733996	0.248432
1.00000	12	28751157	28766643	MSTRG.10276.18	0.136128	0.069798	0.0	0.12393	1.28983	0.048597	0.208781	0.29711	0.061811	0.135518	0.253112	0.220163	0.140968	0.202714	0.530262	0.0
NA	12	28751264	28766643	MSTRG.10276.19	0.116673	0.07139	0.0	0.331171	0.254807	0.07382	0.056421	0.501939	0.091207	0.0	0.289166	0.204318	0.100906	0.130603	0.560118	0.0
NA	12	28751443	28759722	MSTRG.10276.20	0.05827	0.026259	0.359833	0.249826	0.379689	0.069558	0.241209	0.040869	0.070807	0.0	0.329825	0.054808	0.402852	0.043808	0.657662	0.0
0.91303	12	28763543	28775760	MSTRG.10276.21	0.30362	0.081873	1.426114	0.233342	0.919964	0.343324	0.580452	2.354107	1.631245	0.622099	0.402173	0.682189	0.252227	0.347032	1.313428	0.0169
NA	12	28763890	28780032	MSTRG.10276.22	0.0	0.0	0.0	0.004647	0.01149	0.0	0.00019	0.022405	0.00208	0.0	0.04626	0.156392	0.008291	0.004017	0.191566	0.0
1.00000	12	28768230	28780032	MSTRG.10276.23	0.111254	0.0	0.199701	0.0	1.458725	0.042888	0.430797	0.0	0.135342	0.515564	0.324772	0.155981	0.088477	0.288816	0.649596	0.0
1.00000	12	28768381	28776786	MSTRG.10276.24	0.183935	0.038707	0.215735	0.010546	0.066528	0.641728	0.204425	0.228383	1.736562	0.343069	0.048677	0.106462	0.110357	0.190428	0.373253	0.284976
1.00000	12	28768888	28776786	MSTRG.10276.25	0.168041	0.045726	0.505962	0.219715	0.332507	0.072742	0.04902	0.264783	0.096337	0.064539	0.085726	0.213233	0.060223	0.147569	1.014954	0.0
1.00000	12	28772442	28776851	MSTRG.10276.26	0.293695	0.145685	0.391261	0.167666	0.738837	0.054092	0.085968	0.485538	0.121873	0.389659	1.329561	0.433869	0.132344	0.375595	0.576799	0.0
NA	12	28668729	28691999	MSTRG.10276.3	0.0	0.0	0.0	0.046392	0.315027	0.018094	0.024378	0.0	0.155557	0.371677	0.038068	0.337116	0.053563	0.08534	0.675587	0.0
NA	12	28773443	28777946	MSTRG.10277.17	0.072944	0.0	0.304099	0.0	0.03854	0.011652	0.0	0.324357	0.067949	0.213505	0.109062	0.217936	0.0	0.066913	0.207401	0.091809
1.00000	12	29018219	29076065	MSTRG.10277.19	0.164486	0.103703	0.0	0.2792	0.142768	0.31026	0.03176	0.0	3.527748	0.310271	0.140116	0.0	0.117952	0.047831	0.926921	0.0
0.98257	12	29063400	29175386	MSTRG.10277.20	0.080603	0.031572	0.0	0.228128	0.061055	0.12282	0.097392	0.219052	1.820628	0.678574	0.061559	0.051916	0.163353	0.063073	1.169624	0.0
1.00000	12	29073624	29076065	MSTRG.10277.21	0.458108	0.132921	0.0	0.009443	0.178396	0.068997	0.303345	0.67551	4.138833	0.130612	0.058756	0.171561	0.047379	0.0	0.628741	0.0
1.00000	12	29073624	29076065	MSTRG.10277.22	0.022875	0.0	0.0	0.0	0.0	0.11988	0.0	0.0	2.042856	0.0	0.0	0.0	0.0	0.0	0.204377	0.0
1.00000	12	29166591	29175386	MSTRG.10277.23	0.054888	0.036788	0.0	0.805957	0.069259	0.122298	0.097982	0.099559	0.905204	0.858624	0.252605	0.194404	0.494697	0.0	3.081164	0.0
1.00000	12	28996774	28997778	MSTRG.10278.2	0.070413	7.545447	0.0	0.0	0.050939	0.0	0.0	0.0	0.402447	0.0	0.0	0.061498	0.015101	0.234781	0.858102	0.0
1.00000	12	28997248	28998275	MSTRG.10278.3	0.009682	1.14076	0.0	0.0	0.0	0.0	0.0	0.04989	0.0	0.0	0.285563	0.0	0.0	0.042135	0.0	0.0
0.94351	12	29175527	29183836	MSTRG.10279.1	0.109229	0.167105	0.318632	0.59315	0.21321	0.701523	0.0936	0.887236	0.809981	1.295724	1.357663	0.565205	0.86054	0.230059	0.802584	0.05401
1.00000	12	31005549	31020602	MSTRG.10291.1	0.0	0.0	0.0	2.615156	0.080501	0.019768	0.076309	0.221596	0.0	0.191252	0.40137	0.050772	0.068689	0.318694	0.727373	0.0
NA	12	31005552	31020602	MSTRG.10291.2	0.0	0.0	0.0	0.827493	0.0	0.0	0.042123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	12	31448098	31458808	MSTRG.10296.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136996	0.0	0.0	0.021543	0.0	0.0	0.0	0.089029	0.0
0.95533	12	31482873	31493569	MSTRG.10298.1	0.504874	0.748166	0.558023	0.55597	0.039414	0.193529	0.031868	0.0	1.416378	0.235635	2.125836	0.508393	1.170243	0.150327	0.817308	0.0
1.00000	12	31482945	31493569	MSTRG.10298.2	0.0	0.0	0.0	0.372091	0.0	0.0	0.0	0.061542	0.85252	0.0	3.11914	0.258933	0.032628	0.0	0.75215	0.0
0.96885	12	31482945	31493569	MSTRG.10298.3	0.479622	0.456634	0.0	0.320757	0.557932	0.0	2.063221	0.0	0.007659	0.014562	4.712934	0.108697	0.004247	0.445703	0.704849	0.0
1.00000	12	31482945	31493569	MSTRG.10298.4	0.241017	0.190554	0.0	0.082302	0.0	0.010374	0.064983	0.090079	0.058504	0.014407	2.651529	0.156456	0.050103	0.169574	0.180527	0.0
0.98393	12	31482945	31493569	MSTRG.10298.5	0.187992	0.173512	0.622029	0.254098	0.0	0.378847	1.203537	0.101012	0.18851	0.452463	2.156655	0.0	0.329495	0.0	0.275411	0.0
1.00000	12	31483076	31493569	MSTRG.10298.9	0.227747	0.162193	0.0	0.372426	0.0	0.174599	0.0	0.0	0.423762	0.141466	2.822294	0.447632	0.124624	0.418616	0.327505	0.0
1.00000	12	31560869	31567698	MSTRG.10300.1	0.0	0.016343	0.0	0.0	0.019678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.224656	0.0
0.91167	1	43008927	43024618	MSTRG.1030.1	1.336531	0.718022	0.365188	2.138963	0.044011	0.072979	0.681779	0.245389	0.522838	0.726137	2.048804	0.314211	0.508231	0.162845	0.302699	0.810072
0.91627	1	43009074	43025202	MSTRG.1030.2	0.41331	0.27515	0.0	0.416811	1.846711	0.0	1.381199	2.665745	0.617739	0.988214	0.475469	0.130309	0.488811	0.297211	1.34314	0.0
NA	12	32089461	32112853	MSTRG.10305.1	0.0	0.0	0.0	0.0	0.230875	0.0	0.111768	0.0	0.0	0.0	0.0	0.016758	0.0	0.87806	0.501857	0.0
0.68799	12	31670321	31745618	MSTRG.10310.1	6.226737	1.515169	5.580222	6.3141	1.126747	2.746321	1.782149	34.786503	2.831468	0.053025	8.118368	0.809774	5.756903	2.106592	6.500877	4.927124
0.94273	12	31885420	31889368	MSTRG.10312.1	0.062443	0.010695	0.408167	0.060026	2.526039	0.049526	0.201155	0.0	0.017778	0.420848	0.10191	0.02586	0.100938	0.172084	2.216839	0.0
0.99787	12	31959272	31984385	MSTRG.10313.2	0.0	0.090855	0.0	0.0	2.421349	0.0	0.456259	0.0	0.572818	0.134238	0.0	0.0	0.061761	1.02864	0.481802	0.0
0.97581	12	32291995	32294673	MSTRG.10317.1	0.170914	0.182413	1.980546	0.118222	0.586243	0.192034	0.333341	0.204219	0.346634	0.453971	0.350046	0.622116	0.228598	0.554953	1.281365	0.0
0.96676	12	32388262	32412909	MSTRG.10319.1	0.162684	0.906786	0.434709	0.074146	1.334752	0.533168	0.510398	0.289201	0.158882	0.2979	0.503936	0.197502	0.105194	0.429251	1.784564	0.0
0.99345	1	43087568	43089832	MSTRG.1032.1	0.058978	0.067788	0.75939	0.021606	2.657727	0.036953	0.127964	0.009707	0.023703	0.253534	0.04905	0.052027	0.063025	0.219246	1.100878	0.0
1.00000	12	32553834	32599400	MSTRG.10326.1	0.0	0.0	0.0	0.0	0.0	0.0	0.674574	0.0	0.42178	0.0	0.715637	0.0	0.068967	0.0	3.024395	0.0
NA	12	32656225	32715395	MSTRG.10334.11	0.451759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124338	0.0	0.061723	0.0	0.0	0.0	0.0	0.0
NA	12	33199010	33200129	MSTRG.10340.2	0.0	0.0	0.0	0.433385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	12	33199018	33200129	MSTRG.10340.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39152	0.0	0.0	0.0	0.0	0.0
0.81016	12	33230918	33251915	MSTRG.10344.1	2.389107	0.0	1.446825	0.0	0.166733	0.651281	0.0	0.747011	2.519991	0.0	2.104094	0.0	0.620281	1.133391	1.686332	0.0
NA	12	33992608	34014607	MSTRG.10358.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019602	0.0	0.0	0.0	0.0	0.0
0.57273	12	34030686	34107780	MSTRG.10359.1	2.214723	2.976216	3.141436	1.834246	1.668556	5.335279	2.570413	7.278867	2.384153	4.645147	7.715666	5.452195	2.080059	2.427556	13.901195	1.423107
0.99783	12	34130246	34136075	MSTRG.10361.1	0.297537	0.027166	0.072638	0.0	0.091336	0.032141	0.0	0.101557	0.0	0.070328	15.826381	0.846954	0.080426	0.053126	1.093917	0.0
0.95753	12	34619432	34627380	MSTRG.10365.1	0.0	0.267531	0.0	0.299785	0.485222	0.257979	0.817391	0.0	0.349522	2.191582	0.388193	0.573012	0.59292	0.2389	1.648446	0.297379
1.00000	1	43901565	43902254	MSTRG.1037.1	0.0	0.0	0.0	0.0	0.503383	0.0	0.0	0.0	0.0	0.0	0.124572	0.0	0.341507	0.0	1.438018	0.0
0.85021	12	34323111	34362090	MSTRG.10374.1	0.996407	0.267229	1.209338	0.701994	2.098882	0.555955	0.403223	2.379915	0.885889	0.970628	2.333785	1.384211	1.17666	0.946699	4.033879	0.251974
0.83176	12	34328014	34396566	MSTRG.10375.1	0.795737	0.8686	1.62025	1.00761	1.726016	0.543609	0.363444	4.062596	0.68335	1.207776	2.391676	2.22736	0.803265	0.75866	1.896434	0.562487
NA	12	34414028	34415216	MSTRG.10376.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.253554	0.0	0.0	0.0	0.0	0.0
1.00000	12	34414933	34416007	MSTRG.10377.1	0.0	0.003826	0.0	0.0	0.0	0.897513	0.0	0.0	0.062241	0.0	1.254086	0.0	0.0	0.356959	0.26399	0.0
NA	12	35514009	35516462	MSTRG.10389.1	0.008098	0.0	0.0	0.000474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000563	0.0
NA	12	35612637	35618272	MSTRG.10393.2	0.075847	0.0	0.0	0.0	0.074852	0.0	0.0	0.0	0.487299	0.116271	0.078127	0.0	0.02952	0.0	0.447093	0.0
1.00000	12	35921453	35928174	MSTRG.10395.1	2.13379	0.127108	0.0	0.288149	0.630267	0.0	0.08059	0.63179	0.0	0.0	0.559976	0.539681	0.380824	0.219996	0.776136	0.0
0.95944	12	36066393	36077819	MSTRG.10403.1	0.406179	0.154445	0.900254	0.129186	0.325361	0.358476	0.232794	1.446369	1.036465	2.508377	0.829453	0.232178	0.716208	0.169721	8.818682	0.0
NA	12	36066482	36076770	MSTRG.10403.2	0.011328	0.0	0.0	0.0	0.0	0.002263	0.0	0.0	0.206803	0.0	0.183636	0.002961	0.0	0.0	0.457197	0.0
NA	12	36066491	36076219	MSTRG.10403.3	0.0	0.0	0.0	0.0	0.050812	0.001114	0.0	0.111416	0.402826	0.0	0.026428	0.0	0.0	0.032404	0.679272	0.0
NA	12	36066544	36076770	MSTRG.10403.4	0.194813	0.0	0.0	0.0	0.0	0.202954	0.0	0.0	0.714171	0.0	0.375935	0.0	0.0	0.0	0.69992	0.0
NA	12	35665677	35700780	MSTRG.10409.1	0.129675	0.1118	0.470844	0.18611	0.219182	0.222002	0.513378	0.0	0.225483	0.612236	0.710902	0.252485	0.416342	0.199144	0.597545	0.0
NA	12	35675926	35700780	MSTRG.10409.2	0.058915	0.14311	0.284564	0.0	0.105088	0.04563	0.58012	0.161671	0.182421	0.218304	0.107891	0.275552	0.243222	0.027835	0.648825	0.0
NA	12	35787416	35793633	MSTRG.10411.1	0.0	0.0	0.0	0.0	0.0	0.003856	0.0	0.0	0.0	0.0	0.008038	0.0	0.0	0.06455	0.050144	0.0
NA	12	35788250	35793633	MSTRG.10411.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068925	0.013458	0.0
1.00000	12	36196073	36197168	MSTRG.10416.14	0.146123	0.009035	0.0	0.348101	0.21388	0.038344	0.086966	0.0	0.032206	0.0	1.032739	0.126131	0.363028	0.088341	0.301943	0.0
0.87972	12	37397663	37399841	MSTRG.10443.1	1.421384	0.0	0.370639	1.286166	0.423498	0.41181	0.030612	4.562223	1.261323	1.215825	1.162881	0.0	0.522778	0.326253	1.676325	2.829509
1.00000	12	37397785	37399841	MSTRG.10443.3	0.0	0.0	0.0	0.379778	0.0	0.0	2.272808	0.0	0.0	0.178781	0.0	0.0	0.0	0.0	0.0	0.0
NA	12	36333954	36349837	MSTRG.10447.11	0.198311	0.261098	0.197881	0.086376	0.106298	0.238227	0.076445	0.697951	0.256187	0.28435	0.746381	0.115798	0.195397	0.22288	0.54172	0.0
NA	12	36361917	36364449	MSTRG.10447.12	0.159915	0.248112	0.166696	0.05815	0.365445	0.226226	0.190237	0.456988	0.122996	0.404686	0.307269	0.183298	0.080715	0.368867	0.484148	0.0
0.53932	12	36294578	36318202	MSTRG.10448.1	1.772275	2.812771	1.102824	1.58192	1.879652	3.120638	2.065666	2.22546	5.39757	5.525012	2.477917	1.934884	2.834401	1.980373	3.957164	0.95999
1.00000	1	44856086	44861825	MSTRG.1048.1	0.0	0.0	0.0	0.0	0.083394	0.233415	0.064847	0.0	2.274361	0.0	0.0	0.0	0.0	0.0	0.719771	0.0
1.00000	1	44858227	44861825	MSTRG.1048.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.747965	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	12	40571634	40593268	MSTRG.10503.1	0.005708	0.0	0.0	0.030406	0.81622	0.049833	0.069502	0.0	0.0	0.0	1.296355	0.060011	0.103427	0.391839	0.175839	0.0
0.96970	12	40603518	40608092	MSTRG.10504.1	0.205846	0.115043	0.392866	1.360322	0.278927	0.122639	0.0	0.412755	0.013961	0.0	1.150086	0.211717	0.28847	0.297101	0.793359	0.2512
NA	1	44637573	44642881	MSTRG.1055.1	0.045003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049866	0.0	0.0
0.85965	12	42929183	42929548	MSTRG.10561.1	0.681349	2.905944	1.641303	0.671612	0.31031	0.0	0.0	0.144221	0.303287	0.195503	0.200675	0.0	0.0	0.064023	3.003143	3.540861
0.97140	1	44654303	44659908	MSTRG.1057.1	0.0	0.0	0.740614	0.369858	0.284459	0.391006	0.045531	0.291948	0.0	0.0	0.103306	0.0	0.132413	1.283487	1.112997	0.09772
1.00000	12	43391171	43406712	MSTRG.10575.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.988678	0.0
1.00000	12	43953548	43958466	MSTRG.10586.1	0.0	0.0	0.0	0.0	2.17779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	12	45496441	45509216	MSTRG.10612.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.235141	0.0
1.00000	12	46453384	46539102	MSTRG.10624.1	0.034547	0.014808	0.102471	0.014401	5.89732	0.044556	0.005427	0.006639	0.036032	0.020097	0.011585	0.011419	0.01087	0.101441	0.721333	0.004638
1.00000	12	46548195	46549184	MSTRG.10625.1	0.289821	0.00041	0.163586	0.0	0.452644	0.04984	0.0	0.013115	0.117312	0.080383	0.163255	0.008364	0.023999	0.169937	1.178094	0.0
NA	12	46548272	46560584	MSTRG.10625.2	0.068815	0.006627	0.576706	0.009904	0.085275	0.001176	0.0	0.000163	0.227334	0.0	0.068361	0.0	0.000495	0.04464	0.00579	0.0
1.00000	12	48134262	48138571	MSTRG.10654.1	0.0	0.0	0.0	0.0	0.220715	0.0	0.033598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.667812	0.0
