tau	chr	start	end	transcript_id	Testis	Duodenal	Muscle	Horn	Spleen	Rumen	Salivary-gland	Blood	Heart	Skin	Kidney	Jejunum	Ileum	Bone-marrow	Adipose	Brain
0.73407	12	21632628	21637363	MSTRG.10059.1	0.459388	1.455421	0.0	3.025085	3.199062	7.060174	0.079394	1.497682	0.539191	0.386519	0.868126	5.539888	0.544423	2.552603	2.788537	2.923268
0.90101	12	20715856	20715926	MSTRG.10061.1	2.208966	1.042177	0.556641	2.93334	1.166943	2.011688	0.0	0.339954	0.773157	0.451664	1.558705	0.266099	0.503486	4.490837	5.745066	77.400146
1.00000	12	20944207	20944846	MSTRG.10065.1	0.164169	0.0	0.0	0.0	0.0	8.134682	0.0	0.0	0.125138	0.0	0.0	0.650306	0.0	0.0	0.0	0.0
NA	12	20889494	20894319	MSTRG.10066.1	0.0	0.0	0.0	0.0	0.0	0.009711	0.0	0.024321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	12	20889668	20894319	MSTRG.10066.2	0.0	0.0	0.0	0.0	0.0	1.3e-05	0.0	0.027602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.60833	12	20917532	20918460	MSTRG.10067.1	2.481442	1.373737	0.554514	1.476579	0.130894	2.980284	1.988522	1.463919	2.744706	1.661161	1.593644	1.200191	1.729944	0.683724	3.294541	3.697613
1.00000	12	21203455	21204403	MSTRG.10071.29	0.0	0.0	0.0	0.0	0.0	1.246907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.91166	12	21562833	21563383	MSTRG.10080.1	0.591148	1.81559	0.0	0.961822	0.832561	4.764056	0.076565	0.611286	0.200748	0.613896	0.95389	11.348883	0.066998	0.0	0.513165	2.8905
NA	12	21901148	21901227	MSTRG.10084.2	1.1e-05	6e-06	0.0	0.0	0.0	0.004808	0.0	0.0	0.0	0.007427	0.0	0.0	0.0	0.0	1.5e-05	7e-06
0.94323	12	21922047	21922973	MSTRG.10085.1	0.072432	0.474801	0.0	0.289801	0.309101	9.238055	0.0	1.871072	0.0	0.132065	0.0	3.54906	0.933691	0.0	0.620806	0.258455
0.91160	12	21980634	21983284	MSTRG.10086.1	0.522346	0.413605	0.0	0.829183	0.142913	2.288573	0.047397	3.529584	0.143415	0.495387	0.075713	4.832762	0.36021	0.63932	0.246095	0.309809
0.94673	12	21820650	21821057	MSTRG.10098.1	0.0	1.479278	0.0	0.514884	0.0	2.648546	0.561471	0.0	0.0	0.767058	5.523809	0.422793	0.261547	0.0	0.0	0.135771
0.97051	12	22192676	22193319	MSTRG.10104.1	0.172983	0.496332	0.0	0.0	0.0	2.561957	0.142483	0.725236	41.163845	0.227036	0.0	1.608391	1.256865	0.0	0.974154	0.322026
1.00000	12	22412325	22412756	MSTRG.10104.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.645731	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.87730	12	22412325	22412756	MSTRG.10104.4	0.4268	1.947764	0.0	0.468765	0.0	4.504444	0.34954	0.0	6.477508	0.342563	0.94004	3.55002	0.0	0.0	0.206124	0.509744
0.95804	12	22412325	22412756	MSTRG.10104.5	0.0	2.674803	0.0	0.0	0.0	2.303931	1.35573	0.0	0.0	0.0	0.0	0.0	29.167564	0.0	0.0	0.0
1.00000	12	22200402	22200917	MSTRG.10105.1	0.0	0.540007	0.0	0.213688	0.0	6.648645	0.0	0.0	0.436251	0.0	0.0	0.096893	0.0	0.0	0.0	0.0
0.62328	12	24731258	24731725	MSTRG.10151.1	5.329685	2.896832	1.652099	5.279511	3.001388	7.109032	3.590488	0.609705	1.372965	1.960909	0.312956	0.676343	0.6618	4.214059	2.734244	1.445537
1.00000	12	24593735	24593797	MSTRG.10173.1	0.769278	0.0	0.0	0.392263	0.0	7.470203	0.0	0.0	0.239672	0.163985	0.0	0.588731	0.0	0.0	0.497824	0.411292
1.00000	12	24397407	24397592	MSTRG.10173.2	0.0	0.0	0.0	0.0	0.0	3.977654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.65607	12	25262934	25262973	MSTRG.10186.1	4.877656	4.110239	0.0	15.216772	0.0	29.069405	3.374552	9.629183	4.986861	1.605469	1.720231	0.0	2.944954	15.203251	1.780133	3.258713
1.00000	12	26710685	26710929	MSTRG.10197.1	0.0	0.0	0.0	0.0	0.0	0.272809	0.0	0.0	11.031438	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.97307	12	26710685	26710929	MSTRG.10197.2	0.0	0.0	1.645185	0.530476	0.0	0.0	0.0	0.0	3.43011	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.99159	12	27581649	27581849	MSTRG.10204.1	1.301404	0.0	0.0	0.605327	0.0	8.245769	0.0	0.0	1.002575	0.0	0.462722	0.0	0.0	0.0	0.0	0.829233
0.73968	12	27623508	27623721	MSTRG.10205.1	3.858118	1.477579	0.0	0.90879	0.0	2.904485	0.0	0.532804	9.030392	2.735735	3.483122	0.526666	1.797391	2.491741	1.882887	4.054114
0.77940	12	27623475	27623721	MSTRG.10205.2	4.541315	0.812179	1.604439	0.428882	0.0	3.616051	0.476533	0.601527	9.551918	0.0	1.203607	1.77713	2.139299	2.293698	1.422126	4.450186
NA	12	29778083	29778117	MSTRG.10236.8	0.138737	0.0	0.0	0.0	0.0	0.74109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.693036
0.90062	12	30435195	30435533	MSTRG.10246.1	0.245324	0.0	0.0	1.417873	1.166175	1.347133	0.0	0.0	0.0	0.150867	0.292007	0.154509	4.107392	0.0	0.447688	3.688282
1.00000	12	30435195	30435533	MSTRG.10246.2	0.0	0.173046	0.0	0.154457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062381	0.0	0.0	5.894025
0.95681	12	30618368	30618659	MSTRG.10265.1	0.0	0.0	0.0	0.0	0.0	2.532273	0.0	0.0	4.196074	0.0	0.0	0.681395	0.0	0.0	0.0	0.0
1.00000	12	30857853	30858222	MSTRG.10270.1	0.0	0.0	0.0	0.0	0.0	3.714278	0.0	0.0	0.0	0.0	0.0	0.629937	0.0	0.0	0.0	0.0
0.94051	12	28437495	28438195	MSTRG.10272.1	1.624021	0.292864	0.0	0.0	0.72143	12.223812	0.06255	1.261472	0.246141	1.5513	0.0	2.92268	0.340392	0.0	0.544428	1.005141
0.58620	12	28652909	28653057	MSTRG.10273.16	1.361037	1.485324	5.653634	1.031756	2.162104	5.170203	0.37984	3.101384	0.680745	2.084675	1.739406	3.840499	3.271525	4.151442	2.232264	1.53113
0.73658	12	28599323	28604182	MSTRG.10274.1	0.526457	2.660172	0.767323	0.716386	2.441228	3.952323	0.108964	0.799221	5.23668	1.240113	2.489766	10.700319	0.875653	1.979304	1.5378	9.245892
NA	12	28766096	28766643	MSTRG.10276.12	0.310457	0.0	0.0	0.0	0.0	0.678239	0.0	0.0	0.0	0.0	0.0	0.243038	0.013891	0.0	0.0	0.0
1.00000	12	28762053	28762154	MSTRG.10276.13	0.089418	0.057953	0.0	0.068628	0.0	1.158236	0.0	0.0	0.0	0.054311	0.092154	0.759465	0.0	0.0	0.0	0.0
0.99149	12	28777880	28780032	MSTRG.10276.14	0.136443	0.086389	0.135177	0.0	0.132219	1.620489	0.053389	0.439408	0.066759	0.199107	0.1332	0.0	0.269546	1.063583	0.08861	0.09149
1.00000	12	28766096	28766643	MSTRG.10276.15	1.276188	0.211891	0.0	0.278494	0.0	0.91715	0.052947	0.08923	0.14491	0.262661	0.411903	0.0	0.0	0.553562	0.065872	0.648571
0.87476	12	28759041	28759722	MSTRG.10276.17	0.618128	0.518107	0.808397	0.243381	0.452822	1.791074	1.171725	0.031431	0.915093	0.451579	0.437891	0.966658	0.113701	1.998488	1.216063	1.438797
0.97063	12	28766096	28766643	MSTRG.10276.18	0.766758	0.76881	0.0	0.196087	0.0	1.283225	0.179052	0.415372	0.408792	0.224164	0.645275	4.489305	0.807259	1.235518	0.59823	1.222163
0.91124	12	28766096	28766643	MSTRG.10276.19	0.711577	0.495321	0.0	0.297863	0.0	2.493069	0.183875	0.0	1.133542	0.330774	0.510961	0.886867	0.211603	2.087286	0.428214	1.426146
0.86258	12	28759020	28759722	MSTRG.10276.20	0.182734	0.160189	0.0	0.250277	1.001798	1.865162	0.067633	0.0	0.855112	0.25679	0.280233	1.321525	0.932644	0.16995	1.709588	1.596876
0.69886	12	28773453	28775760	MSTRG.10276.21	2.274486	1.316146	0.054991	1.342199	3.970388	3.724945	0.210876	1.906775	0.7568	4.975452	1.460175	3.20197	2.176945	7.367942	1.020326	1.41399
NA	12	28777880	28780032	MSTRG.10276.22	0.521427	0.014373	0.0	0.0	0.0	0.603226	0.0	0.0	0.015904	0.007542	0.0	0.03999	0.000735	0.093172	0.035291	0.163212
0.90917	12	28777880	28780032	MSTRG.10276.23	0.545311	1.033427	0.0	0.173052	0.555979	2.626089	0.0	1.421425	0.0	0.429936	0.535043	5.077152	1.66569	0.0	0.357915	1.423959
0.94747	12	28776484	28776786	MSTRG.10276.24	0.370774	0.696321	0.907958	2.309004	0.600619	1.663325	0.099695	0.945851	0.034788	5.516459	0.884584	0.231555	0.766681	0.949719	0.468323	0.213422
0.95660	12	28773418	28776786	MSTRG.10276.25	0.745462	0.559668	0.0	0.293512	1.408629	2.456171	0.117774	0.197816	0.752044	0.349379	0.808145	1.157305	0.196446	1.101086	0.256332	0.413932
0.88016	12	28776484	28776851	MSTRG.10276.26	1.51103	1.343934	0.0	0.198095	1.089293	1.538922	0.373723	1.19433	0.573891	0.441988	1.392177	2.571554	0.344516	2.019082	0.563308	6.557289
0.96521	12	28691138	28691999	MSTRG.10276.3	1.12398	0.305357	0.0	0.073009	0.0	1.915999	0.0	1.139214	0.153025	0.494152	0.0	1.096464	0.091429	0.0	0.227308	0.167737
1.00000	12	28774930	28777946	MSTRG.10277.17	0.759005	0.239423	0.292512	0.041925	0.846629	0.838448	0.0	0.588639	0.0	0.246427	0.350804	0.13414	0.0	1.348823	0.0	0.537886
0.95393	12	29075769	29076065	MSTRG.10277.19	0.0	0.174901	0.0	1.25189	0.0	4.125695	0.267103	0.890198	0.920959	10.759969	0.79105	0.433301	0.119113	0.0	0.477149	0.691043
0.92324	12	29175149	29175386	MSTRG.10277.20	0.181498	0.225685	0.0	0.441917	0.0	3.743659	0.080992	2.014938	0.752496	5.78351	0.382074	0.1853	0.376568	0.910916	0.693224	0.303603
0.93853	12	29075769	29076065	MSTRG.10277.21	0.599778	0.0	0.0	0.248258	0.0	2.164057	0.342358	0.374738	0.032323	13.147649	2.006249	0.541431	1.172895	2.112322	0.201665	0.20215
1.00000	12	29076021	29076065	MSTRG.10277.22	0.0	0.0	0.0	0.483712	0.0	0.760289	0.0	0.0	0.0	6.489451	0.108431	0.0	0.0	0.0	0.0	0.0
0.89392	12	29175149	29175386	MSTRG.10277.23	0.671974	0.0	0.0	0.440039	0.0	10.339688	0.094753	2.463479	2.758651	2.875523	0.240379	0.2102	0.367475	0.414009	2.105632	0.891229
0.97742	12	28997216	28997778	MSTRG.10278.2	0.214997	0.890426	0.0	0.0	0.0	2.137093	19.434422	0.0	0.0	1.278437	0.333771	0.154601	0.0	0.0	0.061089	0.0
1.00000	12	28997779	28998275	MSTRG.10278.3	0.0	0.150767	0.0	0.0	0.0	0.0	2.92637	0.0	0.0	0.0	0.042403	0.0	0.0	0.207464	0.0	0.982476
0.68294	12	29182333	29183836	MSTRG.10279.1	1.884451	0.872517	0.175747	2.830629	0.887089	3.139563	0.428673	3.717562	1.956543	2.937496	0.478359	0.742086	0.351039	3.689524	3.662806	5.952657
0.95738	12	31019053	31020602	MSTRG.10291.1	0.176824	1.165339	0.0	0.079762	0.0	1.760228	0.0	0.54872	8.951222	0.0	0.0	0.24432	0.304998	0.921495	0.277867	1.979525
1.00000	12	31019053	31020602	MSTRG.10291.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68382	0.0	0.0	0.0	0.162869	0.0	0.0	0.0
NA	12	31457942	31458808	MSTRG.10296.1	0.0	0.0	0.0	0.0	0.0	0.340782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428388	0.0	0.104302
0.77949	12	31493276	31493569	MSTRG.10298.1	1.770575	0.570127	0.0	0.696338	1.55357	2.317926	1.927014	0.676062	1.902986	4.499346	2.428046	0.119622	0.119519	0.0	4.981025	8.681637
0.93128	12	31493276	31493569	MSTRG.10298.2	0.901782	0.0	0.0	0.0	0.0	3.347794	0.0	0.0	1.273603	2.708162	0.0	0.0	0.0	0.255921	0.138877	10.731349
0.89360	12	31493276	31493569	MSTRG.10298.3	0.380006	1.594788	0.0	0.0	0.0	2.444005	1.176129	0.04178	1.05804	0.027776	2.273512	0.896152	7.737967	0.0	0.018022	16.214771
0.99598	12	31493321	31493569	MSTRG.10298.4	0.544889	0.60676	0.0	0.041859	0.0	0.734268	0.4908	0.039721	0.281705	0.212172	1.142471	0.0	0.243716	0.374589	0.202679	9.122542
0.89750	12	31493276	31493569	MSTRG.10298.5	0.0	0.0	0.0	1.363129	1.731766	1.054207	0.446906	1.298161	0.82412	0.574974	0.891124	0.0	4.823154	0.420052	1.398281	7.419936
0.94997	12	31493276	31493569	MSTRG.10298.9	1.558964	1.497867	0.0	0.704502	0.0	1.272873	0.416071	0.390025	1.228471	1.536825	0.997401	0.0	0.0	0.0	0.504136	9.957477
1.00000	12	31567616	31567698	MSTRG.10300.1	0.0	0.0	0.0	0.0	0.0	10.22359	0.041924	0.0	0.0	0.0	0.0	0.059722	0.0	0.0	0.0	0.0
0.71053	1	43024095	43024618	MSTRG.1030.1	1.094299	0.582682	2.635973	0.294467	1.016706	0.963088	1.84193	2.083359	6.937327	1.896135	6.427662	0.15318	2.556965	1.020438	2.163235	7.228486
0.75080	1	43024847	43025202	MSTRG.1030.2	0.455559	1.063464	0.0	0.0	0.0	3.345074	0.705838	2.835285	1.374877	1.962344	1.959176	2.96619	5.180091	8.343313	2.074372	1.635842
0.98923	12	32110152	32112853	MSTRG.10305.1	0.058364	3.330115	0.0	0.0	0.0	1.214486	0.0	0.0	0.0	0.0	0.0	0.700704	0.432156	0.0	0.0	0.0
0.51115	12	31744802	31745618	MSTRG.10310.1	2.830968	7.989423	15.698257	11.081347	15.535673	28.287106	3.88914	0.152134	21.612059	8.636249	29.516058	3.92169	6.890738	108.777458	24.079874	35.594898
0.93189	12	31886833	31889368	MSTRG.10312.1	0.090062	0.652641	0.0	0.199836	1.136361	6.287064	0.027435	1.289927	0.197999	0.064476	0.300303	8.791982	0.806127	0.0	0.428352	0.493406
0.90913	12	31984222	31984385	MSTRG.10313.2	0.0	3.761333	0.0	0.0	0.0	1.366413	0.233069	0.385142	0.0	2.077394	0.0	8.427603	1.711169	0.0	0.262098	0.0
0.81130	12	32293755	32294673	MSTRG.10317.1	2.166636	1.9857	0.0	0.774852	5.513961	4.766728	0.467941	1.302488	0.404651	1.057266	0.821959	2.040441	1.288874	0.849232	0.973007	1.690215
0.80434	12	32412889	32412909	MSTRG.10319.1	0.658491	1.53592	0.0	2.151323	1.210256	6.638646	2.326162	0.854706	0.244575	0.576205	0.771157	4.645659	2.045413	1.202627	0.425539	2.433278
0.94734	1	43088195	43089832	MSTRG.1032.1	0.181885	0.831508	0.0	0.149105	2.114188	2.741722	0.173894	0.777099	0.071268	0.085961	0.283636	9.250326	0.479919	0.040367	0.254953	0.237479
0.93121	12	32599353	32599400	MSTRG.10326.1	0.0	0.0	0.0	0.0	0.0	9.680292	0.0	0.0	0.0	1.529635	0.0	0.0	2.529941	0.0	0.292678	2.68865
1.00000	12	32713607	32715395	MSTRG.10334.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.450928	2.141433	0.0	0.0	0.0	0.0	0.298837
1.00000	12	33199787	33200129	MSTRG.10340.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.429548	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	12	33199787	33200129	MSTRG.10340.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.617769
0.65921	12	33251886	33251915	MSTRG.10344.1	0.0	4.298476	0.0	2.627905	4.028047	5.181519	0.0	0.0	0.0	9.139057	10.462907	0.506032	0.0	3.106403	2.640164	9.225375
NA	12	34014592	34014607	MSTRG.10358.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096675
0.36940	12	34107325	34107780	MSTRG.10359.1	18.988306	8.876621	4.630785	19.196873	8.745947	41.378414	7.665688	13.327388	6.050382	8.646426	10.651072	5.064051	9.640154	22.781578	8.827177	26.817755
0.96262	12	34134279	34136075	MSTRG.10361.1	2.960951	0.194261	0.0	0.129688	0.202227	2.724387	0.069689	0.201779	0.0	0.0	1.410387	0.317898	0.0	0.422319	0.342326	76.418427
0.80742	12	34626798	34627380	MSTRG.10365.1	1.910479	0.906048	0.96767	0.928234	0.0	6.247413	0.686292	6.287865	0.98886	1.267584	0.0	0.812027	3.275679	0.0	2.398523	1.704572
0.95566	1	43902230	43902254	MSTRG.1037.1	0.0	0.0	0.0	0.0	0.0	4.07829	0.0	0.0	0.0	0.0	0.0	1.752043	0.0	0.0	1.453592	0.601502
0.50787	12	34361893	34362090	MSTRG.10374.1	4.820777	3.53409	0.819923	2.243267	3.366871	11.440278	0.688288	2.975039	2.402802	2.702046	4.791932	7.305245	1.615911	9.89675	5.008338	11.759658
0.54753	12	34396488	34396566	MSTRG.10375.1	7.757206	2.714595	1.792134	2.193451	4.510873	7.801208	2.237209	3.701913	3.448874	2.084284	3.826868	6.007469	1.363072	16.894089	3.419021	11.579523
1.00000	12	34415061	34415216	MSTRG.10376.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27763
0.94514	12	34415941	34416007	MSTRG.10377.1	0.0	1.277251	0.0	3.229343	0.0	1.085955	0.009814	0.0	0.0	0.189841	0.0	0.0	0.0	0.0	0.0	6.185053
NA	12	35514165	35516462	MSTRG.10389.1	0.0	0.0	0.0	0.0	0.0	0.001403	0.0	0.0	0.001536	0.0	0.035466	0.0	0.0	0.0	0.0	0.0
0.98360	12	35617982	35618272	MSTRG.10393.2	0.0	0.0	0.0	0.0	0.0	1.113479	0.0	0.320564	0.0	1.54798	0.359533	0.227176	0.0	0.0	0.119415	0.322823
0.90134	12	35928118	35928174	MSTRG.10395.1	1.799351	0.787177	0.0	0.0	0.0	2.147148	0.327385	0.0	0.934558	0.0	10.11462	1.012336	0.311605	2.627265	1.540537	1.939622
0.81677	12	36077221	36077819	MSTRG.10403.1	0.811693	0.620603	0.0	1.446441	2.506361	26.412701	0.396195	7.196781	0.44218	3.292494	1.9534	0.522595	0.932917	5.555587	3.03938	2.853721
1.00000	12	36076666	36076770	MSTRG.10403.2	0.009872	0.0	0.0	0.009129	0.0	1.804244	0.0	0.0	0.0	0.656942	0.053695	0.0	0.0	0.0	0.0	0.631798
0.96873	12	36075524	36076219	MSTRG.10403.3	0.0	0.115948	0.0	0.004497	0.0	1.691718	0.0	0.0	0.0	1.279639	0.0	0.154214	0.0	0.463317	0.0	0.093242
0.91681	12	36076671	36076770	MSTRG.10403.4	0.0	0.0	0.0	0.818914	0.0	2.879203	0.0	0.0	0.0	2.590028	0.923455	0.0	0.0	0.0	0.0	1.444832
0.85759	12	35700719	35700780	MSTRG.10409.1	0.882687	0.75527	0.0	0.798785	1.310859	1.707266	0.287957	1.876544	0.603613	0.687746	0.614686	0.762873	2.057354	0.0	1.766837	3.582146
0.95113	12	35700359	35700780	MSTRG.10409.2	0.91872	0.101782	0.0	0.164181	0.792244	2.887901	0.367118	0.626336	0.0	0.661572	0.283333	0.31894	2.175701	0.672302	0.983899	0.473047
NA	12	35787495	35793633	MSTRG.10411.1	0.0	0.244811	0.0	0.013874	0.0	0.140779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038919
NA	12	35788659	35793633	MSTRG.10411.2	0.0	0.261403	0.0	0.0	0.0	0.050064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.96791	12	36196500	36197168	MSTRG.10416.14	0.439274	0.323028	0.0	0.137965	0.0	0.877626	0.023178	0.0	1.19149	0.116799	0.692655	0.649123	0.336256	0.0	1.545196	3.553122
0.66220	12	37398047	37399841	MSTRG.10443.1	0.0	1.192981	9.01507	1.481734	1.031881	5.564714	0.0	3.629689	4.402321	3.847157	6.835736	1.474001	0.118361	14.266081	2.218522	5.615027
0.99361	12	37398048	37399841	MSTRG.10443.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51294	1.231738	0.0	0.0	0.0	8.787886	0.0	0.0	0.0
0.89059	12	36347681	36349837	MSTRG.10447.11	0.404829	0.845289	0.0	0.961242	0.550914	2.411176	0.669789	0.815827	0.29565	0.813818	0.930817	0.365135	0.286702	2.902391	0.829207	3.272498
0.82743	12	36363344	36364449	MSTRG.10447.12	0.638371	1.398956	0.0	0.912815	0.464092	1.991601	0.639049	1.161083	0.191811	0.390715	0.769064	1.271946	0.76237	1.900358	0.326515	1.515428
0.27513	12	36317279	36318202	MSTRG.10448.1	6.4511	7.510727	3.123806	12.591702	3.070329	17.613205	7.21555	16.934521	5.414635	17.146223	8.523246	5.827534	7.986964	9.254455	12.028388	11.997065
0.98129	1	44861220	44861825	MSTRG.1048.1	0.0	0.0	0.0	0.941823	0.0	1.741832	0.0	0.0	0.0	7.224864	0.0	0.290255	0.259871	0.0	0.0	0.0
1.00000	1	44861220	44861825	MSTRG.1048.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33146	0.0	0.0	0.0	0.0	0.0	0.0
0.94750	12	40581562	40593268	MSTRG.10503.1	0.209	1.432803	0.0	0.201074	0.0	0.511092	0.0	0.0	0.104073	0.0	0.027059	2.477219	0.278528	0.0	0.41839	4.995231
0.85818	12	40607506	40608092	MSTRG.10504.1	0.705886	1.086382	0.799807	0.494847	1.093763	2.780175	0.295117	0.0	4.487113	0.044348	0.989958	0.970818	0.0	1.71642	1.227846	5.042541
NA	1	44641227	44642881	MSTRG.1055.1	0.0	0.189123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.213322	0.0	0.0	0.0	0.0	0.0
0.78832	12	42929325	42929548	MSTRG.10561.1	0.0	0.229083	11.52195	0.0	4.569487	9.612271	7.484691	0.560918	2.215355	0.925056	2.983914	1.080047	0.0	0.599735	0.0	0.884211
0.87646	1	44659892	44659908	MSTRG.1057.1	0.0	4.592502	0.311343	1.406881	2.061915	4.953913	0.0	0.0	1.199567	0.0	0.0	0.990072	0.17076	1.214052	0.561925	0.500165
1.00000	12	43406602	43406712	MSTRG.10575.1	0.0	0.0	0.0	0.0	0.0	7.232544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	12	43958438	43958466	MSTRG.10586.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.609572	0.0	0.0	0.0	0.0
1.00000	12	45509040	45509216	MSTRG.10612.1	0.0	0.0	0.0	0.0	0.0	25.139637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.98771	12	46501006	46539102	MSTRG.10624.1	0.038073	0.362971	0.015091	0.179781	0.285286	1.745613	0.037986	0.057661	0.049292	0.109902	0.166143	20.52586	0.020985	0.027606	0.046128	0.04901
0.95866	12	46548371	46549184	MSTRG.10625.1	0.027886	0.60806	0.0	0.179329	0.455433	2.850966	0.001057	0.230626	0.0	0.357814	1.393812	1.37377	0.0	0.054538	0.102152	0.715789
1.00000	12	46560373	46560584	MSTRG.10625.2	0.0	0.15973	0.0	0.004745	1.605585	0.01683	0.017001	0.0	0.033898	0.693391	0.330945	0.258808	0.0	0.000677	0.0021	0.337149
