tau	chr	start	end	transcript_id	thymus	liver	colon	jejunum	skin	mammary	horn	duodenum	rumen	thyroid	uterus	heart	kidney	ileum	adipose	ovary	abomasum	omasum	intestine	esophagus	reticulum	muscle	Lung	spleen	brain
0.92019	13	70420519	70423255	MSTRG.10034.3	0.13155	0.0	0.0	0.0	8.917404	0.046851	0.058093	0.234905	2.169288	0.0	0.518378	0.195464	5.541149	0.367036	0.162213	0.0	0.058676	0.0	0.094814	0.378299	0.228113	1.171529	0.818693	0.101769	4.693527
0.98407	13	70421428	70421734	MSTRG.10034.4	0.576676	0.0	0.640324	0.761624	0.261836	0.164866	0.087855	0.227728	1.104963	0.0	0.229172	0.166605	27.297752	1.036483	0.039224	0.0593	0.080574	0.0	0.362825	0.037676	0.096197	0.085542	0.134067	1.062347	2.910402
NA	1	1000110	1001133	MSTRG.100.4	0.0	0.0	0.0	0.0	0.0	0.105556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.298504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.98430	13	71750976	71751115	MSTRG.10042.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.392716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.228718	0.891443	0.0	0.0	0.0	0.566214
0.84370	13	71889259	71889843	MSTRG.10044.1	0.14427	0.0	2.424594	0.0	6.922447	0.028578	11.726353	1.174162	36.638649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.503353	15.383333	0.13574	26.811615	5.134728	0.429791	0.134654	0.227387	0.197776
0.85136	13	71889259	71889843	MSTRG.10044.2	0.51218	0.0	0.0	0.0	8.662416	0.062783	7.974586	0.687584	26.59679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.852858	12.777168	0.176195	10.173283	7.275173	0.594761	0.208211	0.024856	0.548223
0.96006	1	1000130	1001133	MSTRG.100.5	1.974681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.558505	0.0	0.0	0.0	0.0	3.230715	0.0	0.0	0.0	0.0	0.0	0.095816	0.0	0.0	0.0	0.0	0.0
0.91789	13	72261081	72261501	MSTRG.10052.1	1.924976	0.0	0.0	0.0	3.822774	0.013929	0.23253	0.0	11.278249	0.0	0.0	0.0	0.0	0.168671	0.0	0.0	0.0	7.436498	0.0	2.164412	0.278668	0.0	0.0	0.0	0.485025
0.92571	13	72259330	72259374	MSTRG.10053.1	0.844774	0.0	0.0	0.0	2.477334	0.0	1.491053	0.0	15.989876	0.0	0.133693	0.0	0.0	0.213602	0.0	0.0	0.0	26.720922	0.0	5.923738	0.0	0.0	0.0	0.0	0.08327
0.96023	13	70142879	70144438	MSTRG.10055.10	2.61212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.912086	0.0	0.0	0.0	0.0	0.0	0.771334	0.774657	0.0	23.85442	0.788169	0.724349	0.0	0.0	0.0	0.0	0.676405
0.91279	13	70142879	70144438	MSTRG.10055.9	2.313102	0.0	0.0	11.428797	0.0	0.0	0.0	0.0	89.804291	7.051867	0.0	0.0	0.0	0.0	0.623326	2.634807	0.0	21.550367	0.738724	1.158026	0.0	0.0	0.0	0.0	0.286542
0.69241	13	70180629	70180849	MSTRG.10056.1	3.337212	0.931162	0.0	0.096147	1.013636	1.829627	1.253603	4.66135	12.883239	2.088114	6.000714	2.052706	3.738839	2.804123	6.163728	1.785354	2.433268	2.435776	2.197976	1.747999	2.356036	1.319621	1.676923	1.721339	7.134459
0.87914	13	70180629	70180849	MSTRG.10056.2	0.196753	0.0	1.991147	0.0	0.385563	0.390936	0.573183	0.177663	2.647141	2.725719	0.964603	1.042093	0.298399	0.380846	3.014725	0.136249	0.131336	0.118722	0.091092	0.082475	0.060905	0.31823	0.669594	0.053884	1.639874
0.86439	13	70180629	70180849	MSTRG.10056.3	0.308293	0.0	4.479757	0.0	0.090992	0.387834	0.54939	0.470265	5.349608	0.687704	1.554649	9.806479	0.0	0.491179	2.165128	0.306117	1.127674	4.983074	0.389483	0.453189	0.930161	0.333018	0.620628	0.368747	3.720257
0.73237	13	70180629	70180849	MSTRG.10056.4	2.150748	0.894901	0.0	2.398852	1.245191	2.055124	1.564723	2.618573	6.207427	2.584462	2.781916	5.435172	1.264726	1.919692	15.570758	1.494552	1.640757	0.0	1.655424	0.588898	2.391364	2.435744	2.954032	3.23911	6.315695
0.85639	13	70278880	70279208	MSTRG.10057.1	0.360547	8.625478	1.730388	1.118989	5.037201	1.089943	0.494076	1.483799	28.004169	0.569136	0.224583	0.090614	0.133406	0.791746	1.02991	0.93753	0.11196	23.66807	1.316756	4.181849	4.019792	0.824569	0.098771	0.79157	1.325485
1.00000	13	70278880	70279208	MSTRG.10057.2	0.0	0.499189	0.0	0.0	0.0	0.0	0.0	0.0	4.810793	0.0	0.0	0.0	0.0	0.358272	0.389952	0.0	0.0	0.0	0.0	0.220095	0.0	0.0	0.0	0.0	0.0
1.00000	13	70278880	70279208	MSTRG.10057.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.665753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.313435	0.0
1.00000	13	70278880	70279208	MSTRG.10057.4	0.0	0.0	0.0	0.0	0.0	0.002816	0.0	0.002177	3.054011	0.0	0.09996	0.0	0.0	0.0	0.014175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.93569	1	1000110	1001133	MSTRG.100.6	23.388416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.381455	0.0	0.0	0.0	0.0	7.990726	0.0	0.0	0.0	0.0	0.0	3.704281	0.029718	0.0	0.0	0.0	0.0
0.96792	13	72867363	72867420	MSTRG.10061.1	0.0	0.0	0.0	0.0	3.456276	0.0	0.0	0.0	0.618096	0.0	0.0	0.0	0.0	0.0	5.00719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.96115	13	74305093	74305257	MSTRG.10066.1	0.0	0.0	0.0	0.0	1.885105	1.741944	0.0	0.0	1.832582	0.0	0.478456	0.634324	0.0	1.493794	0.801413	2.761132	0.188096	0.0	0.0	0.0	0.0	0.701757	0.0	0.343408	31.325521
0.86087	13	75007806	75008211	MSTRG.10067.1	0.059342	0.0	0.0	0.0	4.588512	4.245064	0.0	0.0	0.117273	5.337267	0.0	0.0	0.0	0.005479	8.344871	2.649576	0.474023	0.0	0.0	0.0	0.0	0.071313	0.236086	0.0	10.154824
0.93688	1	1000172	1001133	MSTRG.100.7	0.234817	0.0	0.0	0.0	13.268078	0.0	0.0	0.0	8.586529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.848869	0.0	0.0	0.0	0.668537	0.0	0.0	0.0	0.0
0.98148	13	72652563	72652768	MSTRG.10071.1	0.341632	0.0	2.103967	0.110779	0.032224	0.151539	0.063721	0.051702	5.330341	0.046008	0.329114	0.1483	0.061669	0.313518	0.035766	0.456871	0.148432	0.335024	0.073638	0.025372	0.022011	0.0	0.047078	0.001458	0.451857
NA	13	72652563	72653239	MSTRG.10071.10	0.00261	0.03892	0.0	0.0	0.005061	0.001149	0.02679	0.0	0.465243	0.0	0.000124	0.018601	0.001019	0.0	0.0	0.0	0.0	0.0	0.0	0.000889	0.00551	0.0	0.0	0.0	0.039603
NA	13	72652563	72652768	MSTRG.10071.11	0.150628	0.0	0.0	0.0	0.0	0.0	0.062789	0.0	0.877216	0.0	0.0	0.0	0.0	0.074246	0.122303	0.0	0.0	0.0	0.0	0.079285	0.019128	0.0	0.0	0.090298	0.0
NA	13	72651834	72651973	MSTRG.10071.12	0.024977	0.0	0.330922	0.0	0.015728	0.0	0.0	0.0	0.054942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	13	72653038	72653239	MSTRG.10071.13	0.018919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051277	0.0	0.002861	0.0	0.0	0.0	0.0	0.0	0.011076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.95975	13	72649318	72649412	MSTRG.10071.14	0.534997	0.0	0.0	0.0	0.506889	0.0	0.218683	0.067324	3.802413	0.0	0.833485	1.168198	0.246494	0.171859	0.257634	1.766281	0.250653	0.0	0.0	0.0	0.061711	0.379481	0.451234	0.12942	1.760727
NA	13	72653038	72653239	MSTRG.10071.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.45398	13	72643628	72644543	MSTRG.10071.2	9.679255	1.024227	5.3097	6.537497	5.053078	3.384911	4.228889	3.205926	13.556846	7.559004	9.014957	7.514238	7.443231	10.76553	4.257691	8.244448	3.84901	10.728532	3.53711	2.656753	2.96471	4.070566	1.430113	1.621603	17.313416
0.92537	13	72651834	72651973	MSTRG.10071.3	5.684146	0.436548	0.0	0.0	1.546353	0.903507	1.621851	0.459218	11.099426	0.0	1.424233	0.799737	0.378249	0.017229	0.0	0.383824	0.460437	0.0	0.991583	0.041278	1.07597	0.0	0.718863	0.760132	3.410396
0.99612	13	72649318	72649413	MSTRG.10071.4	0.699687	0.0	0.0	0.0	0.536677	0.225063	0.237473	0.208463	6.606879	0.0	0.013713	1.122713	0.249687	0.014719	0.0	0.276169	0.0	0.0	0.209144	1.061676	0.270208	0.0	0.0	0.0	0.068594
0.99301	13	72653040	72653239	MSTRG.10071.5	0.150359	0.071782	0.109861	0.0	0.060855	0.040223	0.048552	0.0	3.775727	0.834144	0.124605	0.131631	0.061812	0.008775	0.082139	0.107729	0.030552	1.249621	0.017364	0.102272	0.094988	0.0	0.0	0.108364	0.167676
1.00000	13	72652769	72653239	MSTRG.10071.6	0.055233	0.0	0.0	0.0	0.098743	0.01524	0.0	0.228681	1.136663	0.0	0.02911	0.009452	0.013954	0.0	0.0	0.0	0.0	0.0	0.0	0.004276	0.058278	0.0	0.029211	0.187832	0.309569
NA	13	72653038	72653364	MSTRG.10071.7	0.029277	0.0	0.0	0.0	0.138102	0.0	0.039587	0.0	0.531953	0.0	0.043341	0.125487	0.0	0.02553	0.0	0.0	0.039943	0.0	0.0	0.117676	0.154237	0.0	0.0	0.0	0.45381
NA	13	72653240	72653364	MSTRG.10071.8	0.022576	0.0	0.0	0.0	0.018356	0.0	0.034315	0.0	0.090059	0.0	0.000398	0.0	0.0	0.0	0.0	0.179094	0.0	0.0	0.0	0.017154	0.0	0.0	0.0	0.016214	0.00765
1.00000	13	72653040	72653239	MSTRG.10071.9	0.042063	0.0	0.0	0.0	0.001026	0.0	0.0	0.053218	1.447411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.79815	13	72685539	72686763	MSTRG.10073.1	0.425957	4.12751	0.299844	1.546638	1.3037	2.178965	0.873051	0.683314	9.583967	8.201015	0.545826	0.866959	2.988041	0.809261	2.227359	1.999743	0.447031	0.0	1.7844	0.949233	1.653367	1.716996	0.461204	0.977608	5.674473
0.98467	13	72841454	72842520	MSTRG.10077.3	0.0	0.032147	0.0	3.205868	160.054062	0.0	0.0	0.0	0.100993	0.0	0.0	0.0	0.150684	0.0	0.0	0.0	0.281245	2.017774	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.92668	13	75541557	75542073	MSTRG.10081.1	3.27049	0.0	0.0	0.0	0.185364	0.0	0.190987	0.182485	4.394395	0.0	0.048891	0.0	0.149125	0.0	0.0	1.38062	0.0	0.0	0.534261	0.0	0.0	0.0	0.385842	0.397816	2.995965
0.89806	13	75771951	75773067	MSTRG.10085.1	0.0	0.0	0.0	0.0	0.224634	0.0	0.182071	0.093731	10.147726	0.0	7.624421	3.610419	0.0	0.140046	0.0	0.0	0.0	0.0	0.0	0.194098	0.850586	6.320713	0.7757	0.0	1.66554
0.92457	13	75741129	75743124	MSTRG.10086.1	0.0	0.191172	0.0	0.0	0.203752	0.056395	0.223826	0.104075	6.388344	0.0	8.846171	2.598493	0.086781	0.072912	0.77245	0.0	0.040498	0.0	0.042332	0.175569	0.508076	15.740286	0.20056	0.020978	0.476944
NA	13	75241075	75241232	MSTRG.10088.1	0.0	0.0	0.0	0.0	0.0	0.009891	0.0	0.0	0.003915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009749	0.0	0.0
1.00000	13	75283560	75284465	MSTRG.10090.1	0.094697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.886985	2.260135
0.51225	13	75321231	75321390	MSTRG.10093.1	7.308524	2.552006	11.815207	6.366893	2.550866	3.222665	2.292308	2.73412	5.68964	0.0	3.389028	1.843869	3.896398	6.038968	4.463047	0.965537	12.732876	0.0	12.686323	2.674858	4.394845	0.549704	2.06565	12.853322	13.242609
0.93899	13	75362230	75362468	MSTRG.10095.6	1.514417	7.343596	0.0	0.0	0.221063	0.972054	0.107706	0.285541	4.481384	0.939289	0.266599	0.33048	1.114574	0.636926	1.64055	0.0	0.40143	0.0	0.457072	0.449086	0.451385	0.33256	0.16191	1.493092	0.78099
0.44068	13	75362230	75362468	MSTRG.10095.7	10.739792	2.13833	2.101328	6.512219	4.340402	5.792569	2.15709	3.415647	5.661416	3.780102	3.350464	2.686834	8.530595	5.667006	8.128733	5.661069	2.304239	2.689654	3.828729	4.589709	3.758343	1.394089	1.577343	3.247145	10.184121
1.00000	13	75941874	75942078	MSTRG.10097.1	0.0	0.0	0.0	0.0	0.571575	0.0	0.0	0.795524	0.0	0.0	0.0	0.0	7.249148	0.085412	0.0	0.0	0.0	0.0	0.791056	0.0	0.0	0.0	0.0	0.0	0.39021
0.95290	13	75941874	75942078	MSTRG.10097.2	0.0	0.0	0.0	5.245878	0.0	0.0	0.0	0.589985	0.182373	0.0	0.0	0.0	10.595208	0.209698	0.0	0.0	0.008048	0.0	2.747285	0.0	0.0	0.0	0.034754	0.0	0.0
0.91367	13	75909957	75916054	MSTRG.10097.3	0.0	0.354085	5.28943	13.653232	0.16076	0.0	0.0	4.508156	0.306874	0.0	0.014872	0.0	9.431882	0.660939	0.0	0.0	0.649442	0.0	0.0	0.039726	0.10595	0.0	0.326477	0.0	0.394872
0.95642	13	75941874	75942078	MSTRG.10097.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.914416	0.641442	0.0	0.092793	0.0	13.909939	0.667735	0.0	0.0	0.750669	0.0	2.84489	0.0	0.0	0.0	0.0	0.0	1.122941
0.84504	13	75972115	75972267	MSTRG.10100.1	0.258156	0.0	25.828463	12.378339	1.124181	0.239948	0.153534	5.772785	0.19692	0.0	0.055233	0.0	12.343799	9.776984	0.53795	0.0	3.240658	0.0	5.679913	0.0	0.370614	0.0	0.751588	0.0	0.614652
0.92616	13	75805349	75805421	MSTRG.10103.1	0.826272	0.267186	1.17935	0.958225	0.11538	0.383325	0.503074	0.282228	8.335122	6.278434	0.38163	1.129591	0.169259	0.249719	0.220335	0.424424	0.666287	2.090107	1.056394	0.694258	0.384723	0.085891	0.162606	0.028922	2.320317
0.97970	13	75808752	75809094	MSTRG.10104.1	0.438401	0.212371	0.0	0.001221	1.387341	0.034676	0.102707	0.135536	1.163144	0.218202	0.025853	0.200716	0.151945	0.08706	0.064155	0.085718	0.100509	0.080654	0.059413	0.079215	0.092138	0.025729	6e-05	0.107945	1.008447
1.00000	13	75808752	75809035	MSTRG.10104.10	0.878184	0.117526	0.0	0.014392	0.262341	0.070567	0.076752	0.01305	0.709372	0.882484	0.573495	0.093326	0.017106	0.126919	0.101001	0.063574	0.601656	0.192397	0.106392	0.023233	0.002808	0.089543	0.006117	0.108511	2.869137
NA	13	75808752	75809035	MSTRG.10104.11	0.11497	0.182385	0.0	0.048019	0.517278	0.110985	0.019623	0.006838	0.521051	0.069145	0.044179	0.003734	0.0	0.073022	0.235602	0.001641	0.056328	0.528122	0.425222	0.019896	0.000106	0.016877	0.0	0.038831	0.947779
1.00000	13	75808752	75809035	MSTRG.10104.12	0.049982	0.0	0.0	0.0	0.281658	0.008848	0.0797	0.0	0.340816	0.0	0.025353	0.205966	0.0	0.076363	0.0	0.019506	0.041879	0.0	0.033024	0.009961	0.018913	0.017782	0.0	0.009234	1.188455
1.00000	13	75807705	75809035	MSTRG.10104.13	0.589805	0.0	0.044359	0.363229	0.128639	0.0	0.122205	0.139083	0.974443	0.0	0.457797	0.015318	0.0	0.0	0.0	0.010109	0.102231	0.0	0.0	0.003896	0.000342	0.132957	0.039815	0.054352	3.170907
NA	13	75808752	75809035	MSTRG.10104.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	13	75808752	75809035	MSTRG.10104.15	0.0	0.003327	0.0	0.0	0.0	0.0	0.0	0.0	0.219709	0.0	0.0	0.0	0.0	0.0	0.0268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.331469
0.93195	13	75808752	75809938	MSTRG.10104.2	1.177674	0.573617	0.0	1.956968	0.685824	0.323332	0.430123	0.337393	1.813442	0.0	0.835815	0.501383	0.391609	0.437346	0.005687	0.337809	0.632511	0.003958	0.747521	0.238114	0.394642	0.007351	0.323951	0.04695	2.400639
0.96053	13	75811854	75812122	MSTRG.10104.3	0.518198	0.101139	0.09913	0.60141	0.05443	0.03702	0.0738	0.212635	1.905469	0.535452	0.168209	0.301004	0.116182	0.444704	0.045716	0.133363	0.277653	0.297368	0.056398	0.091276	0.169479	0.013789	0.049225	0.060747	1.841736
1.00000	13	75809036	75809094	MSTRG.10104.4	0.000169	0.004579	0.0	0.027078	0.000401	0.006165	0.034851	0.1406	0.877374	0.016379	0.226573	0.040847	0.003643	0.042415	0.330376	0.019892	1.9e-05	0.0	0.070817	0.004753	0.008658	0.000524	0.033077	0.033687	3.14154
NA	13	75808752	75809035	MSTRG.10104.5	0.109362	0.036402	0.0	0.0	0.0	0.014473	0.0	0.0	0.035542	0.0	0.026739	0.0	0.0	0.0	0.239223	0.0	0.0	0.0	0.036105	0.002973	0.0	0.0	0.0	0.0	0.110448
0.96626	13	75809036	75809938	MSTRG.10104.6	0.575339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.825125	0.0	0.086547	0.0	0.009358	0.045828	1.353372	0.004916	0.161209	0.0	0.0	0.447682	0.002968	0.0	0.0	0.028699	3.054492
1.00000	13	75807705	75809035	MSTRG.10104.7	0.481228	0.182907	0.0	0.0	0.0	0.067421	0.0	0.058386	0.469651	0.0	0.216924	0.673995	0.0	0.0	0.282432	0.270376	0.0	0.0	0.207206	0.025427	0.0	0.009959	0.082439	0.0	3.95686
1.00000	13	75808752	75809035	MSTRG.10104.8	0.0	0.038328	0.0	0.0	0.000322	0.035224	0.0	0.0	0.136695	0.0	0.026824	1.113257	0.0	0.0	0.0	0.0	0.0	0.0	0.056402	0.0	0.0	0.0	0.002165	0.0	0.290513
NA	13	75807846	75809035	MSTRG.10104.9	0.327663	0.0	0.0	0.0	0.075339	0.0	0.0	0.0	0.111455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062502	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	1	1005809	1006093	MSTRG.101.1	0.570237	0.0	0.0	0.0	1.030799	0.042294	0.040272	0.182447	0.163221	0.0	0.000813	0.0	0.000255	0.157491	0.0	0.010015	0.272951	0.0	0.003405	0.050308	0.001686	0.0	0.0	0.033198	0.191077
NA	13	76279199	76279609	MSTRG.10111.1	0.0	0.0	0.0	0.0	0.0	0.083646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.93373	13	76063490	76063686	MSTRG.10115.1	0.702496	0.221681	0.0	0.0	0.053668	0.0	0.003687	0.0	1.640012	0.0	1.107521	1.573273	0.0	0.576519	0.213049	1.260496	0.501112	0.0	0.536588	0.0	0.0	0.0	0.774735	0.0	0.99654
1.00000	13	76063490	76063686	MSTRG.10115.2	0.0	2.142106	0.0	0.0	0.23679	0.375182	0.0	0.0	0.104605	0.0	0.009836	0.0	0.0	0.030048	0.0	0.068038	0.184417	0.0	0.0	0.0	0.0	0.0	0.042001	0.0	0.0
