tau	chr	start	end	transcript_id	Skin	Blood	Spleen	Adipose	Abomasum	Ear_bone	Cecum	Lung	Antler	Cerebrum	Cerebella	Jejunum	Rumen	Muscle	Kidney	Testis	Colon	Heart	Ileum	Liver	Esophagus
0.79744	chr1a	128873603	128873905	MSTRG.10031.1	6.948051	8.009966	2.59484	2.253099	0.922715	0.982826	1.849879	1.205291	5.768977	3.006768	2.81411	3.115901	4.186848	1.572889	0.744649	43.562782	1.868427	0.152938	2.565157	1.254444	0.258689
1.00000	chr1a	128873639	128873905	MSTRG.10031.2	0.613945	0.14209	0.0	0.0	0.0	0.111037	0.0	0.0	0.59617	0.0	0.0	0.0	0.384783	0.111617	0.0	4.42627	0.093879	0.0	0.0	0.0	0.0
NA	chr1a	128890259	128890408	MSTRG.10033.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	129099695	129099886	MSTRG.10039.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.870175	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	129063149	129063406	MSTRG.10040.1	0.0	0.17684	0.0	0.146946	0.0	0.292256	0.0	0.176163	1.896663	0.252665	0.0	0.0	0.0	0.083404	0.067549	0.053506	0.040068	0.0	0.0	0.0	0.11985
0.96612	chr1a	129131029	129131732	MSTRG.10044.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.185204	130.850784	0.0	0.0	0.0	0.0	0.531979	0.0	0.0	0.0	0.0	0.0
0.95758	chr1a	129133653	129133898	MSTRG.10045.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.99551	8.809491	0.0	0.0	0.0	0.0	0.333862	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	129159709	129160915	MSTRG.10046.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.53236	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	129159709	129160915	MSTRG.10046.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082309	0.0	0.0	0.0	0.0	0.0	10.176719	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	129159709	129160915	MSTRG.10046.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.334665	0.0	0.0	0.0	0.0	0.0
0.98358	chr1a	129240884	129240930	MSTRG.10050.1	1.353222	0.0	0.632975	0.0	0.114382	0.0	0.392362	0.091356	2.527889	0.0	0.0	0.111964	0.453366	0.199809	0.0	0.0	1.002081	0.0	0.071901	0.217346	0.0
0.87769	chr1a	129240648	129240883	MSTRG.10050.2	2.744646	0.0	1.675705	0.097893	0.135914	1.348316	1.407717	0.328287	3.702425	0.0	0.0	0.357859	0.522873	0.300648	0.356023	0.358126	2.816011	0.0	0.38259	0.868771	0.0
0.79973	chr1a	129241798	129241988	MSTRG.10050.3	4.176493	1.604571	2.88282	1.00815	0.288915	2.608879	3.290571	0.697514	6.691103	0.0	0.130752	1.196385	1.404584	1.546061	0.329308	1.153663	3.61862	0.0	0.640368	1.116733	0.213703
NA	chr1a	129236960	129238102	MSTRG.10050.4	0.03676	0.0	0.001809	0.000371	6e-06	0.026854	0.007444	0.000117	0.039784	0.0	0.0	6.7e-05	0.005409	0.00126	0.0	0.0	0.006274	0.0	0.0	0.013682	0.0
NA	chr1a	129237703	129238102	MSTRG.10050.5	0.018152	0.0	0.002131	0.000762	0.000151	0.022569	0.000815	0.007	0.059714	0.0	0.0	0.000369	0.003717	0.001827	0.0	0.0	0.007235	0.0	0.0	0.00862	0.0
0.92999	chr11a	26847287	26848014	MSTRG.1005.1	0.972108	3.763515	0.0	0.154577	0.461681	0.151466	0.390748	0.0	1.340889	0.0	0.0	0.933442	5.037831	0.0	0.0	0.0	1.494869	0.0	1.275698	0.0	0.0
0.91227	chr1a	129250793	129250898	MSTRG.10053.1	1.685452	0.0	1.978294	0.771556	0.481413	0.381783	0.595788	0.468945	2.66535	0.0	0.10347	0.382581	1.009528	0.418292	0.325348	1.376574	0.4715	0.548668	1.205397	0.244409	0.631228
NA	chr1a	129246759	129249853	MSTRG.10053.2	0.480674	0.0	0.096891	2.4e-05	3e-06	0.0	0.610305	0.0	0.089127	0.0	0.0	0.074174	0.191995	0.0	0.0	0.0	0.047804	0.0	0.122279	0.0	0.0
NA	chr1a	129247844	129249853	MSTRG.10053.3	0.0	0.0	0.0	0.0	0.0	0.0	0.013985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.99599	chr1a	129262034	129262134	MSTRG.10054.1	0.160624	0.0	0.311752	0.0	0.0	0.0	0.0	0.0	1.175897	0.0	0.0	0.0	0.0	0.0	0.0	7.55729	0.0	0.443101	0.159078	0.10516	0.0
0.51500	chr1a	129285747	129286289	MSTRG.10055.1	5.596276	10.834301	4.107103	3.402486	1.478241	2.296846	4.831919	2.324652	6.719036	1.889668	3.43991	5.836575	6.007671	1.875546	1.929083	8.653295	6.002151	0.525758	12.357617	2.560564	1.640673
0.30679	chr1a	129307351	129308665	MSTRG.10057.1	17.961868	25.180204	12.523954	9.040797	5.812126	10.133738	8.54769	7.429709	23.860079	18.97258	21.436846	13.392798	16.152712	8.325968	3.986254	13.112548	8.427285	1.659811	13.021715	4.280613	4.903963
0.89794	chr11a	26908691	26908967	MSTRG.1006.1	2.526015	0.0	0.141705	0.098022	0.585203	0.431398	1.37006	0.945779	1.760154	0.108542	0.393145	0.59747	0.944081	0.203096	1.176469	0.71634	2.297827	0.0	1.016796	0.059981	0.108544
0.91318	chr1a	129485185	129485339	MSTRG.10063.1	4.926997	89.520828	2.98592	0.4009	0.0	0.192491	0.791028	3.63522	188.836197	0.149588	0.108352	0.460653	0.419396	1.870613	0.0	0.097209	0.077678	0.081692	0.175098	0.664653	0.528583
0.94645	chr1a	129469955	129470693	MSTRG.10063.2	1.272007	121.58712	1.925571	0.428244	0.120035	0.0	0.125941	2.594789	8.058528	0.0	0.31096	0.136839	0.136272	1.547713	0.024108	0.110601	0.059465	0.112303	0.415703	2.155967	0.019434
NA	chr1a	129511147	129511240	MSTRG.10065.1	0.0	0.0	0.0	0.217604	0.0	0.0	0.0	0.0	0.00684	0.0	0.0	0.0	0.0	0.093874	0.0	0.0	0.0	3.1e-05	0.0	0.091812	0.045949
1.00000	chr1a	130540800	130544954	MSTRG.10072.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024111	0.0	16.8687	0.0	0.0	0.0	0.0	0.0
NA	chr1a	130541953	130545299	MSTRG.10073.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15245	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	130593231	130594686	MSTRG.10074.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088328	0.0	20.120876	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	130593231	130594686	MSTRG.10074.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.226553	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	130593231	130594686	MSTRG.10074.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.735941	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	130606906	130607044	MSTRG.10075.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.214622	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	130606906	130607044	MSTRG.10075.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.843718	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	130606906	130607044	MSTRG.10075.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086661	0.0	5.958354	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	130681896	130682299	MSTRG.10076.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.296751	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	130681896	130682299	MSTRG.10076.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.798578	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	130738383	130739466	MSTRG.10077.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.226326	0.0	0.0	0.0	0.0	0.0
0.95328	chr1a	130797311	130797775	MSTRG.10078.1	1.616497	0.180163	0.944739	0.032434	0.0	0.081153	0.366569	0.0	1.498523	0.0	0.0	0.529801	4.388326	0.147051	0.203028	1.010827	1.494259	0.352735	1.088379	0.0	0.243983
1.00000	chr1a	130906272	130906570	MSTRG.10079.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118479	0.0	0.0	0.0	0.0	0.0	0.0	8.247773	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	131014220	131014315	MSTRG.10080.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.792041	0.0	0.0	0.0	0.0	0.0
0.73340	chr11a	27042742	27043012	MSTRG.1008.1	2.687716	0.0	0.300557	2.96165	0.895042	5.524082	4.459201	2.92931	4.482151	0.0	1.133992	0.0	4.59	0.0	0.0	1.121469	1.185672	0.0	2.812627	0.0	0.0
0.90824	chr1a	131160664	131161584	MSTRG.10081.1	1.725863	0.157632	0.240177	1.131333	0.146447	0.378951	1.523059	1.954136	4.693193	0.333901	2.081463	1.411377	0.054767	0.106124	0.108732	0.267168	0.208935	0.0	0.667066	0.823971	0.0
NA	chr1a	129942315	129942846	MSTRG.10088.1	0.150786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.156799	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	131358140	131359680	MSTRG.10091.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.516127	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	131350387	131350962	MSTRG.10092.1	1.706433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	chr1a	131351039	131351164	MSTRG.10092.2	0.089522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.280401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	chr1a	131371421	131371476	MSTRG.10093.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016479	0.0	0.0	0.0	0.0	0.135739	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	131768568	131768668	MSTRG.10094.2	0.0	0.0	0.0	0.16639	0.071616	0.156402	0.0	0.158202	0.09592	0.0	0.0	0.0	0.045022	0.0	0.0	10.080192	0.0	0.0	0.074491	0.093275	0.0
1.00000	chr1a	131570251	131570409	MSTRG.10096.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.14096	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	131851314	131851511	MSTRG.10099.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.212673	0.0	42.64407	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	131851383	131851511	MSTRG.10099.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.226341	0.0	0.0	0.0	0.0	0.0
NA	chr1a	132076171	132076515	MSTRG.10102.1	0.021322	0.0	0.017973	0.011933	0.0	0.003474	0.018663	1e-05	0.055801	0.055914	0.012736	0.049146	0.020358	0.008337	0.009765	0.061537	0.016926	0.000115	0.108622	0.102231	0.0
1.00000	chr1a	132178563	132178694	MSTRG.10107.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.964904	0.0	0.0	0.0	0.0	0.0
0.49972	chr1a	132230681	132230692	MSTRG.10109.1	4.606291	14.10117	5.569614	3.811508	0.918905	8.462265	3.260937	4.899498	13.479889	2.488939	2.626937	5.038675	13.048722	2.477902	4.234921	18.246536	3.000765	1.24618	6.109702	5.918777	2.712445
0.91392	chr1a	132266386	132267802	MSTRG.10110.1	0.696033	0.0	0.07384	0.887239	0.210756	1.96786	0.0	0.190108	2.352535	1.661361	3.375921	0.0	1.184181	0.277647	0.050843	7.314342	0.097433	0.166246	0.10568	0.0	0.0
0.96930	chr1a	132266386	132267802	MSTRG.10110.2	0.814989	0.0	0.147795	0.310621	0.090445	0.828359	0.0	0.103683	1.348301	0.297395	0.0	0.0	0.14064	0.231353	0.237214	1.201374	0.0	0.0	0.0	0.127101	0.0
0.73426	chr1a	132264557	132267802	MSTRG.10110.3	1.860859	3.035478	1.149669	0.474731	0.622558	0.632049	2.188039	1.832327	4.672814	0.84123	1.876765	2.066082	1.88368	0.670491	0.538755	2.985947	0.893103	0.102713	2.462498	2.588749	0.613934
NA	chr1a	132267128	132267802	MSTRG.10110.4	0.052212	0.0	0.0	0.0	0.0	0.0	0.046058	0.0	0.258406	0.0	0.0	0.0	0.067758	0.0	0.0	0.027775	0.047409	0.0	0.0	0.0	0.0
0.99205	chr1a	132855808	132857177	MSTRG.10111.1	1.345346	0.0	0.089312	0.18804	0.0	0.447913	0.0	0.341223	6.457191	0.140523	0.0	0.259875	0.283992	0.055836	0.0	0.857644	0.0	0.0	0.276281	0.0	0.0
1.00000	chr1a	132856035	132857177	MSTRG.10111.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.240577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	132890310	132893064	MSTRG.10113.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222033	0.0	0.039859	0.0	0.0	0.0	0.0	11.253222	0.0	0.0	0.054752	0.0	0.0
0.89654	chr1a	132941075	132941569	MSTRG.10114.1	1.101868	9.385813	0.0	0.56996	0.471659	0.0	0.463729	0.62911	6.136417	0.0	0.0	1.15606	3.127354	1.054829	0.127149	3.988905	0.592672	0.0	0.803624	0.12802	0.0
0.97687	chr1a	133022317	133022670	MSTRG.10115.1	1.88332	0.0	0.0	0.0	0.0	0.604987	0.286648	0.0	3.929082	0.0	0.0	0.309117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.66108	chr11a	27001032	27001629	MSTRG.1012.1	2.969248	20.37129	3.02213	4.858205	1.225663	2.937169	1.502616	1.874655	7.916025	0.0	0.0	2.849165	10.035581	3.637721	0.612035	9.185105	5.76123	0.391187	8.971995	4.319309	0.963343
NA	chr1a	132699371	132702917	MSTRG.10121.1	0.046703	0.0	0.0	0.031316	0.0	0.0	0.04156	0.0	0.118675	0.0	0.0	0.0	0.0	0.016018	0.0	0.029845	0.0	0.0	0.0	0.0059	0.0
NA	chr1a	132699371	132702917	MSTRG.10121.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	chr1a	132699371	132702917	MSTRG.10121.3	0.040935	0.0	0.0	0.0	0.0	0.0	0.047441	0.0	0.123592	0.0	0.0	0.064536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	chr1a	132699371	132702917	MSTRG.10121.4	0.029323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	133273849	133274053	MSTRG.10125.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1682	0.0
0.93501	chr1a	133149594	133150680	MSTRG.10127.1	7.915436	0.357625	0.455512	0.966546	0.100343	0.266654	0.285107	0.291916	4.658696	0.232865	0.0	0.32181	0.152731	0.072865	0.0	0.1505	0.14501	0.0	0.161263	16.046581	0.090358
NA	chr1a	133149937	133150635	MSTRG.10128.1	0.777479	0.0	0.0	0.0	0.0	0.314271	0.0	0.081467	0.729744	0.0	0.0	0.114998	0.127422	0.061128	0.0	0.155272	0.205845	0.0	0.103028	0.833455	0.0
0.93916	chr1a	133158701	133158927	MSTRG.10129.1	2.34866	0.550006	0.123344	1.517933	0.0	0.110021	0.23703	1.019709	4.185034	0.0	0.0	0.170552	0.615283	1.570115	0.0	0.126754	0.0	0.177921	0.445054	0.945144	0.086079
0.96886	chr1a	133158770	133158927	MSTRG.10129.2	2.396784	0.0	0.326197	0.418824	0.292722	0.073163	0.0	0.123788	1.723613	0.677867	0.0	0.081717	0.742915	0.195705	0.488184	0.201557	0.132486	0.0	0.335601	0.971828	0.0
0.99165	chr1a	133202781	133202834	MSTRG.10129.3	1.547421	0.420889	0.57275	0.446331	0.045488	0.922779	0.075281	0.249171	19.534344	0.0	0.051674	0.165305	0.648587	0.110255	0.037136	1.061295	0.526548	0.049689	0.325874	0.831422	0.346703
0.90837	chr1a	133205778	133205831	MSTRG.10131.1	4.402776	0.602188	0.924607	1.160025	0.151164	3.465407	0.402963	0.162585	28.303961	0.306794	0.0	0.726782	3.840187	0.507667	0.173984	4.535487	1.188081	0.0	1.249609	0.842896	0.540779
0.98172	chr1a	133227270	133228022	MSTRG.10132.1	0.948131	0.0	0.201136	0.0	0.075468	0.289998	1.346362	0.0	1.372954	0.0	0.0	0.28503	0.144251	0.154398	0.0	0.224926	5.367836	0.098319	0.247613	0.059702	0.0
1.00000	chr1a	133248110	133249152	MSTRG.10134.1	0.0	0.0	0.0	0.0	0.0	0.0	0.368795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.949325	0.0	0.0	0.0	0.0
1.00000	chr1a	133255482	133255584	MSTRG.10135.1	0.0	0.0	0.0	0.0	0.0	0.0	0.474074	0.0	0.0	0.0	0.0	0.0	0.06833	0.0	0.0	0.0	5.572943	0.0	0.0	0.054778	0.0
0.99108	chr1a	133721478	133723440	MSTRG.10140.1	3.961934	0.0	0.379737	0.142914	0.0	0.0	0.0	0.0	1.278363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	133553623	133554022	MSTRG.10141.1	0.211046	0.0	0.0	0.0	0.137454	0.0	0.0	0.0	0.120663	0.123285	0.0	0.0	0.0	0.0	0.0	0.0	1.135679	0.002598	0.117236	0.0	0.0
0.91013	chr1a	133553623	133554022	MSTRG.10141.2	2.014136	0.0	0.0	0.308806	0.508075	5.062859	0.0	1.262894	0.966471	1.77808	0.419619	0.981322	0.144974	0.0	0.0	0.323642	0.620962	1.874319	2.17662	0.0	0.191528
0.90064	chr1a	133638589	133639297	MSTRG.10143.1	1.701615	0.0	1.836233	1.120157	1.307906	0.311702	0.448455	2.32579	0.319242	0.0	0.0	0.363704	1.168988	0.064406	0.0	0.0	0.0	0.0	0.318281	0.046882	0.0
1.00000	chr1a	133938565	133938739	MSTRG.10145.1	0.249249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.305094	0.0	0.0	0.175043	0.0	0.0	0.0	12.786684	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	133972455	133973303	MSTRG.10146.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.492917	0.0	0.0	0.0	0.0	0.0
NA	chr1a	134028919	134029055	MSTRG.10148.2	0.451803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.527969	0.0	0.0	0.0	0.211249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	chr1a	134046575	134046616	MSTRG.10148.3	0.154345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	chr1a	134183556	134183705	MSTRG.10152.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.641066	0.0	0.0	0.0	0.0	0.705556	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	134226275	134226477	MSTRG.10156.1	0.41159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.501911	0.0	0.0	0.0	0.0	0.0
1.00000	chr1a	134284781	134289179	MSTRG.10157.1	0.265108	0.076286	0.155737	0.038643	0.055125	0.0	0.027114	3.718003	0.655875	0.06165	0.0	0.040202	0.369523	0.076199	0.0	0.146079	0.027641	0.0	0.001937	0.0	0.101977
0.96637	chr1a	134297761	134299172	MSTRG.10158.1	0.555493	0.539375	0.0	0.0	0.169886	0.0	0.117241	4.744289	1.053081	0.495176	0.0	0.0	0.977674	0.079033	0.0	2.70567	0.0	0.0	0.0	0.268379	0.072967
NA	chr1a	134441947	134442133	MSTRG.10164.1	0.0	0.0	0.0	0.0	0.0	0.0	0.018955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.37982	chr11a	27222545	27225146	MSTRG.1017.1	7.703831	0.718893	12.599576	12.921619	5.191155	8.843632	6.804927	6.754273	15.084411	1.903021	5.571369	7.121323	8.53954	2.078215	6.419972	11.426349	9.704018	2.74647	7.846484	0.633648	7.627315
0.71622	chr1a	134890517	134890593	MSTRG.10173.1	11.19086	4.453784	4.197813	0.0	2.436356	0.0	1.774323	1.335082	7.076205	0.0	0.0	1.625957	8.498725	1.552681	0.0	7.007392	1.61781	0.0	4.830365	0.221229	0.302426
1.00000	chr1a	135280832	135281153	MSTRG.10179.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.090223	0.0	0.0	0.0	0.0	0.0	0.05082	0.041027	0.0	0.0	0.0	3.495481	0.0
0.93320	chr10a	80230	81759	MSTRG.10.18	0.919891	0.400176	1.607733	1.37005	0.392105	1.055082	0.5487	0.421293	1.280765	0.675024	0.981449	1.864047	1.880002	0.783774	0.282257	9.096154	1.007342	0.521381	1.81738	0.476337	0.828559
0.57419	chr1a	135215110	135215329	MSTRG.10184.1	3.674881	9.303037	2.61889	5.661204	0.643778	1.426894	2.621929	2.65441	7.595004	1.671039	2.661085	2.372895	5.296759	2.675321	0.0	7.739074	2.368893	0.0	7.490657	2.102403	0.0
NA	chr1a	135246583	135246638	MSTRG.10187.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.310156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.86666	chr1a	135268255	135268507	MSTRG.10188.1	1.917038	0.0	0.575015	1.625543	1.992248	0.149154	1.068731	0.898343	3.358787	0.470169	0.294134	0.246707	0.829502	0.644852	0.335838	1.910405	1.384699	0.194493	0.318683	0.293302	1.441939
0.82849	chr1a	135422713	135423035	MSTRG.10190.1	2.662094	1.308993	0.73248	2.304425	1.936832	1.728535	0.555888	1.931225	6.8797	1.828567	3.059502	0.548859	0.716615	1.003199	0.05352	2.562067	0.637286	0.45393	0.655107	0.295772	0.245871
0.98831	chr11a	27269356	27269589	MSTRG.1019.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012068	0.0	0.0	6.919369	0.0	0.0	0.269173	0.0	0.0	0.0	1.571801	0.0	0.128784
