chr	start	end	transcript_id	Intestine	Testis	Abomasal	Submandibular-gland	Adipose	Retina	Skin	Liver	Ileum	Heart	Horn	Esophagus	Bone	Adrenal-gland	Lung	Muscle	Colon	Jejunum	Uterus	Kindey	Brain	Mammary-gland	Spleen	Rumen
17	7667443	7667568	MSTRG.10028.1	0.0	0.643186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	7667443	7667568	MSTRG.10028.2	0.0	0.512935	6e-06	3e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.00311	0.0	0.0	8e-06	3e-06	0.0	5.7e-05	2e-06	0.0	7e-06	1.2e-05	0.0	0.0	0.0
17	7771250	7771317	MSTRG.10033.1	0.0	0.0	0.0	2.869777	1.607389	6.017248	0.0	0.0	19.859377	0.452538	0.700382	0.0	7.714191	0.571575	0.215352	0.54663	0.604522	3.252878	2.317849	0.0	1.386027	0.501719	1.887251	0.985218
17	7778333	7778438	MSTRG.10034.1	0.0	0.0	0.0	0.368646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.488186	0.0	0.0	0.0	0.0	0.0	0.32078	0.0	0.0	0.0	0.0	0.0
17	7866594	7866897	MSTRG.10039.1	0.0	0.091758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	7899494	7901368	MSTRG.10040.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.280233	0.0	0.0	0.0	0.039924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.983494	0.0	0.0	0.0
17	8239895	8241073	MSTRG.10049.1	0.80981	0.347689	0.0	1.791273	0.0	8.396395	3.113628	0.0	0.0	0.0	0.686687	0.0	0.129127	10.735962	0.0	0.0	0.108251	0.0	0.0	0.0	6.532604	1.030942	0.264928	0.0
17	8439634	8439847	MSTRG.10051.1	0.059325	0.540359	0.14553	0.055618	0.284716	145.763428	0.0	2.816722	0.0	0.0	1.014228	0.0	0.332318	2.873799	0.0	0.0	0.089068	0.536483	0.143857	0.224212	16.248611	0.055864	0.0	0.051494
17	8439634	8439847	MSTRG.10051.2	0.0	0.0	0.0	0.0	0.0	53.723137	0.0	0.0	0.0	0.0	0.666519	0.0	0.0	0.0	0.383376	0.0	0.0	0.0	0.0	0.0	37.122395	0.0	0.0	0.0
17	8439634	8439847	MSTRG.10051.3	0.0	0.0	0.0	0.0	0.0	25.148407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.793533	0.0	0.0	0.0
17	8463328	8464945	MSTRG.10053.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17531	0.0	0.0	0.0
17	8321927	8322559	MSTRG.10057.1	0.407493	1.696446	0.257076	1.032342	0.266774	4.369817	1.558712	0.0	0.859524	0.210703	0.968071	0.0	0.27004	0.409591	0.400608	0.185251	0.180396	0.452569	1.008911	0.621811	7.772158	1.029966	0.386628	0.553463
17	8511598	8512172	MSTRG.10064.1	0.0	5.53738	0.0	0.0	0.0	0.0	0.0	0.0	0.399182	0.0	0.190898	0.0	0.0	0.0	0.0	0.0	0.144973	0.0	0.543362	0.0	0.0	0.0	0.0	1.106449
17	8516500	8534364	MSTRG.10066.1	0.180197	0.166838	0.051202	3.840686	0.491807	2.107976	0.778755	0.298116	0.174631	0.695808	1.196374	0.347131	1.312811	0.246128	0.122278	0.379292	0.216121	0.416316	10.307018	0.057913	0.121109	2.318902	0.163073	2.132458
17	8550825	8552071	MSTRG.10067.1	3.605034	1.642102	3.502002	4.072044	7.772728	1.87904	0.0	6.156421	7.627007	16.983356	17.012207	18.645039	12.145734	1.93556	1.87154	0.533541	12.116218	3.900116	9.355901	4.342121	2.963002	2.676372	0.664799	29.250153
17	8648539	8649195	MSTRG.10070.1	0.055616	0.024992	0.0	0.052675	0.013137	1.26536	0.0	0.0	0.034203	0.001198	0.016297	0.0	0.0	0.205515	0.051335	0.0	0.074851	0.032007	0.007172	0.149777	3.690132	0.015004	0.07138	0.021872
17	8648539	8649195	MSTRG.10070.2	0.0	0.0	0.0	0.0	0.012435	0.0	0.0	0.0	0.0	0.000325	0.004446	0.0	0.0	0.0	0.010991	0.0	0.020061	0.002219	0.003177	0.006585	0.0	0.009721	0.0	0.003159
17	8648539	8649195	MSTRG.10070.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004855
1	105665865	105666155	MSTRG.1007.1	0.0	0.0	0.0	0.138894	0.0	0.462473	0.0	0.0	0.0	0.0	8.720877	0.0	0.0	0.0	0.0	0.0	0.524581	0.0	0.0	0.0	0.0	0.463668	0.0	0.528736
17	8687202	8687417	MSTRG.10072.1	0.041976	0.03153	0.0	0.822195	0.0	20.734606	0.0	0.0	0.0	0.006075	0.063366	0.0	0.0	0.042659	0.0	0.0	0.041211	0.055526	0.335746	0.0	0.568161	0.108796	0.021758	0.079909
17	8828504	8828691	MSTRG.10076.1	1.639327	0.432086	2.856395	2.692518	3.895041	2.601026	0.0	0.994918	0.182741	0.704817	4.270432	1.57476	1.204321	1.324144	0.916675	0.493548	2.096573	1.101892	3.704644	0.128444	2.624078	0.84585	0.673064	2.878324
17	8828504	8828691	MSTRG.10076.3	0.0047	0.547642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018033	0.0	0.055851	0.0	0.06813	0.014705
17	8828504	8828691	MSTRG.10076.4	0.004455	0.0	0.002416	0.010413	0.0	0.0	0.0	0.0	0.0	0.029181	0.0	0.0	0.0	0.016935	0.0	0.0	0.014676	0.0	0.0	0.046684	0.031724	0.0	0.0	0.058823
17	8915983	8916718	MSTRG.10080.1	0.0	97.504471	0.0	0.109213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.172318	3.24649	0.123105	0.0	0.0
17	8915983	8916718	MSTRG.10080.2	0.0	69.941948	0.0	0.204135	0.0	0.156766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.50416	0.0	0.0	0.0	0.0	0.0	0.0	0.335592	0.0	0.0	0.0
17	8937961	8942389	MSTRG.10082.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.407481	0.14879	0.0	0.326863	0.0	0.0	0.344472	0.0	0.0	0.0	0.0
17	8993153	8994372	MSTRG.10085.1	1.191828	0.798621	1.466685	2.227381	1.752046	4.108938	0.0	0.633043	0.838309	1.111732	1.864841	1.625763	0.381216	2.174551	1.498	0.814475	2.736581	2.805404	1.736006	1.321487	3.084277	0.965683	0.908511	1.858753
1	105704606	105707380	MSTRG.1009.1	0.0	0.0	0.099759	0.0	0.0	0.0	0.0	0.011233	0.0	0.001033	0.010044	0.0	0.0	0.086027	0.004577	0.0	0.018198	0.14778	0.0	0.0	0.059379	0.0	0.0	1.983593
17	9769107	9769194	MSTRG.10091.1	0.061109	0.0	0.562075	29.508924	0.0	0.36451	0.0	0.750685	0.0	3.639071	5.778688	0.0	2.058818	0.0	0.651695	0.0	22.242661	9.991659	2.139344	0.0	4.688744	0.821683	0.0	1.805899
17	9730803	9734585	MSTRG.10091.2	7.160275	0.0	3.286008	149.852921	0.0	0.283912	0.0	0.0	7.409039	9.878905	41.136803	0.0	27.108946	0.0	27.617378	0.0	21.002838	7.770548	8.448594	2.332651	14.728851	0.758004	20.563318	16.487318
17	9731785	9734585	MSTRG.10091.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.119713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.446217
17	9769371	9770578	MSTRG.10092.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.665371	0.0	0.0	0.0	0.0	0.0	0.0
17	9726820	9726980	MSTRG.10093.1	0.376676	1.35628	1.843312	36.254162	0.0	1.431834	0.0	0.0	0.0	2.689664	8.614769	0.0	16.52215	0.11655	4.260337	0.0	15.032445	12.924638	0.376564	2.52868	11.444732	0.312777	1.36643	1.870099
17	9954172	9954207	MSTRG.10099.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059186	0.0	0.0	0.0	0.002468	0.0	0.119311	0.0	0.0	0.0	0.284847	0.0	0.0	0.324325
1	106334632	106334739	MSTRG.1010.1	0.0	59.642078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.343954
17	9977480	9978593	MSTRG.10101.4	0.0	0.005768	0.0	0.015856	0.0	0.0	0.0	0.0	0.050586	0.005342	0.584959	0.0	0.0	0.02029	0.043755	0.0	0.0	0.0	0.0	0.0	0.058753	0.001675	0.0	0.003043
17	10072475	10073649	MSTRG.10104.1	0.455064	0.32207	0.584125	0.80995	0.0	3.852708	0.0	0.107866	19.295624	0.299371	1.071174	0.0	0.0	2.114037	0.863662	0.781714	0.772679	0.733869	0.0	0.139445	4.746758	0.840032	0.640014	0.744158
17	10071684	10073649	MSTRG.10104.2	0.0	0.228637	0.0	0.682225	0.0	2.852294	0.0	0.0	5.612216	3.299115	0.178332	0.0	0.0	0.346285	0.0	0.0	0.403464	0.649428	0.0	0.0	2.135217	0.0	0.884677	2.9e-05
17	10155978	10157139	MSTRG.10107.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026408	0.0	0.0	0.0	0.0
17	10177160	10177913	MSTRG.10109.1	0.0	9.33267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.080677	0.0	0.0	0.0
17	10181968	10182139	MSTRG.10109.3	0.0	4.282456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.198721	0.0	0.0	0.0
17	10181729	10181967	MSTRG.10109.4	0.0	12.775627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.363867	0.0	0.0	0.0
17	10181729	10182139	MSTRG.10109.6	0.0	2.110829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.617541	0.0	0.0	0.0
17	10185817	10185884	MSTRG.10109.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.690505	0.0	0.0	0.0
17	10181726	10182139	MSTRG.10109.8	0.0	0.414359	0.171582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.244722	0.0	0.0	0.0
17	10261016	10261130	MSTRG.10110.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.847693	0.0	0.0	0.0
17	10261016	10261130	MSTRG.10110.2	0.0	0.062032	0.0	0.0	0.0	1.310227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.229134	0.0	0.128464	0.0	0.0	0.0	0.0	4.815327	0.0	0.0	0.0
17	10760637	10760735	MSTRG.10112.1	0.0	6.245497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	10859760	10859894	MSTRG.10114.1	0.0	0.0	0.0	0.0	0.0	3.572062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.12299	0.0	0.0	0.0
17	10891101	10891854	MSTRG.10115.1	0.0	5.076753	0.0	0.0	1.423986	1.778966	0.0	0.0	0.0	8.29227	0.0	2.263637	0.0	0.047627	5.694876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	11094278	11094696	MSTRG.10121.1	0.0	0.0	0.6812	0.867122	0.0	0.0	0.0	1.342838	0.101208	0.0	0.562981	0.0	0.0	12.663248	0.0	1.397423	0.019069	1.098922	4.687613	0.210936	0.963358	0.779229	0.0	0.834
17	11094278	11094696	MSTRG.10121.2	6.215354	0.0	0.0	0.680074	0.0	0.841904	0.0	12.919479	2.618522	0.738854	3.314822	0.0	0.0	9.038097	0.001028	0.0	0.0	3.421932	0.008284	0.0	4.572699	3.4e-05	0.0	1.201053
17	11094278	11094696	MSTRG.10121.3	0.218353	0.0	0.0	0.372643	0.0	0.362231	0.0	20.333389	0.003375	0.514821	0.357718	3.483771	0.220613	16.4065	1.534415	0.0	0.296038	0.272194	1.425411	1.937505	0.66506	0.006163	0.0	0.473734
17	11075801	11077975	MSTRG.10122.1	0.071022	0.038073	0.0	7.393555	0.071436	0.453827	0.0	5.044729	0.0	0.009984	0.234615	0.0	0.1043	4.264742	0.032828	0.0	0.0	0.0	10.15433	0.0	0.836807	1.526436	0.0	0.509192
17	11188462	11188771	MSTRG.10124.1	0.0	0.0	0.0	0.0	0.0	0.14312	0.0	25.67798	0.0	0.0	0.73954	0.0	0.0	0.227598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.186857	0.0
17	11188462	11188771	MSTRG.10124.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	762.227783	0.0	0.0	8.5169	1.917683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.002358	0.0	5.781095	1.001489
17	11188528	11188771	MSTRG.10124.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.275696	0.0	0.0	0.511798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.629589	1.460077
17	11188528	11188771	MSTRG.10124.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.814173	0.0	0.0	0.156794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	11277777	11277803	MSTRG.10125.1	0.0	9.227779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.184267	0.0	0.0	0.0	0.0	0.202495	0.0	0.0	0.0	0.0	0.0
17	11483047	11483285	MSTRG.10127.1	0.0	2.811564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	11466500	11466870	MSTRG.10127.2	0.0	7.014002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.140361	0.0	0.0	0.0	1.960444	0.0	0.0	0.0	0.0	0.0
17	11486861	11487789	MSTRG.10127.3	0.0	4.659271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15301	0.0	0.0	0.0	0.0	1.852474	0.0	0.0	0.0	0.0	0.0
17	11483047	11483285	MSTRG.10127.4	0.0	13.365431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.861804	0.0	0.0	0.0	0.0	2.302624	0.0	0.0	0.0	0.0	0.0
17	11527924	11527967	MSTRG.10127.5	0.0	11.938495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.673579	0.0	0.0	0.0	0.0	0.0
17	11527924	11527967	MSTRG.10127.6	0.0	3.394677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.773078	0.0	0.0	0.0	0.0	1.265199	0.0	0.0	0.0	0.0	0.0
17	11500582	11500643	MSTRG.10128.1	0.0	2.391495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21578	0.0	0.0	0.721767	0.02498	0.0	0.0	0.0	18.3906	0.0	0.065063	0.0	0.0	0.029675
17	12351620	12352047	MSTRG.10130.1	0.349809	5.601295	0.0	4.033873	0.0	13.054828	0.0	0.0	0.0	0.223551	0.467263	0.0	0.640731	0.0	0.0	0.2969	0.339399	0.0	7.913361	0.0	0.0	3.128215	0.0	0.811626
17	12309579	12309767	MSTRG.10130.2	0.408849	5.392684	0.12206	4.723619	0.732999	3.325489	0.0	0.0	0.0	0.221997	1.205702	0.0	0.853745	0.26979	0.089366	0.0	1.123627	0.371011	2.706038	0.0	0.728515	2.215067	0.0	0.849975
17	12403723	12403806	MSTRG.10132.1	0.102276	0.044307	0.0	6.477192	0.0	10.245779	7.651208	0.083853	0.0	0.957375	0.646956	0.0	0.308897	0.024166	0.0	0.354451	0.239698	0.093982	7.009868	0.0	0.18907	3.023568	0.195061	0.150352
17	12486444	12490511	MSTRG.10133.1	0.78852	0.075868	0.015104	10.355313	0.087947	13.39439	3.097431	0.048043	0.061426	0.968079	1.48504	1.858373	1.246361	0.009796	0.017983	0.727351	0.170985	0.095564	10.68288	0.013285	0.255571	4.985464	0.19344	1.324657
17	12618457	12618771	MSTRG.10134.1	0.0	0.0	0.0	1.162866	0.0	0.0	0.0	0.0	0.0	0.0	0.455653	0.0	2.095857	0.413751	0.633105	0.0	0.0	0.0	0.0	6.427994	0.0	0.126325	0.0	0.074214
17	12624445	12625167	MSTRG.10135.1	0.0	5.564277	0.193046	1.299415	1.754954	0.0	0.0	1.733698	0.373275	0.113437	3.636849	0.0	0.305423	2.812723	2.834997	0.0	0.229127	0.0	0.193945	0.532246	0.936069	0.630175	0.434008	0.842654
17	12827418	12827611	MSTRG.10136.1	0.0	0.0	0.0	0.338549	7.501122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.270019	0.0	0.0	0.898776	0.0	0.0
17	12829436	12830426	MSTRG.10137.1	0.515097	1.545792	0.262064	2.759889	7.91389	0.688936	0.0	0.0	0.0	0.229818	4.15964	0.889649	1.36251	0.502436	0.047069	0.0	0.755736	0.380396	0.103176	0.0	0.0	0.900133	1.769616	0.549547
17	12932388	12936037	MSTRG.10141.1	5.328681	1.893847	5.178621	5.854207	3.794958	18.792715	1.629116	2.610725	6.404588	3.480267	9.124074	7.047298	3.605456	15.108368	2.60281	1.532459	6.645112	8.436703	3.779015	2.63701	6.591172	4.427032	1.567826	5.464651
1	105945268	105947826	MSTRG.1014.2	0.0	0.0	0.0	0.0	0.0	0.965926	0.0	0.0	0.0	1.622871	2.079237	0.730327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.560887	0.0	0.0	0.0
17	13070210	13070223	MSTRG.10143.1	0.0	0.0	0.0	0.005257	0.0	0.065533	0.0	0.0	0.0	0.0	0.199252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012773	0.0	0.090556	0.0	0.0	0.0
17	13161442	13161782	MSTRG.10146.1	0.0	5.855704	0.0	2.427855	0.0	4.149266	0.0	0.131077	0.0	0.25029	0.25312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.118578	0.0	0.350732	1.475711	0.0	0.238592
1	105969672	105969685	MSTRG.1015.1	0.284261	0.09379	0.0	0.538394	0.0	0.52424	0.0	0.650437	0.0	1.835623	0.357508	0.0	0.0	0.0	0.029443	0.0	0.320596	0.0	0.0	0.109797	0.697984	0.042366	0.0	0.149829
17	14031960	14032206	MSTRG.10153.1	0.0	15.521905	0.0	0.0	0.284704	7.368969	0.0	0.0	0.0	0.0	1.004595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	14031960	14032206	MSTRG.10153.2	0.0	5.687715	0.0	0.0	0.0	7.524203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39813	1.995915	0.0	0.55612	0.0
17	14031960	14032206	MSTRG.10153.3	0.0	5.999531	0.0	0.0	0.0	2.505828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	14068998	14069018	MSTRG.10156.1	0.0	0.030334	0.086901	0.084046	0.157859	0.0	0.0	0.0	0.179327	0.0	0.018631	0.0	0.0	0.167464	0.029343	0.0	0.239193	0.0	0.0	0.0	0.12035	0.017669	0.0	0.065577
17	14139211	14139246	MSTRG.10157.1	0.0	1.697959	0.0	0.379174	0.0	0.31168	0.0	0.790653	0.0	0.275334	0.0	0.0	0.0	0.0	0.0	0.0	0.382806	0.0	0.0	0.0	1.045341	0.0	0.0	1.930342
17	14506521	14506685	MSTRG.10159.1	0.0	20.188225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	14506521	14506685	MSTRG.10159.2	0.0	12.782044	0.0	0.0	0.0	0.129374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111522	0.0	0.0	0.0	0.0	0.504499	0.0	0.0	0.0	0.0	0.0
17	14506521	14506685	MSTRG.10159.3	0.0	4.980375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	14506521	14506685	MSTRG.10159.4	0.0	4.884919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	14738563	14738725	MSTRG.10160.1	0.0	131.019394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.826515	0.0	0.0	0.0	0.0	0.0
1	106058106	106058190	MSTRG.1016.1	2.777408	1.28888	1.385492	2.469746	9.208657	4.135108	0.0	11.725829	7.650718	17.475899	2.823253	64.191399	2.099524	1.301428	1.401377	0.0	3.1343	1.953033	12.703829	2.414722	24.878389	0.489308	0.0	4.978776
1	106058046	106058190	MSTRG.1016.2	0.0	0.0	0.0	0.0	2.395974	0.0	0.0	0.894042	0.0	1.349929	0.145719	0.0	0.0	0.0	0.0	0.0	0.0	0.187179	0.0	0.247776	0.0	0.0	0.0	0.0
17	14335693	14339259	MSTRG.10163.1	0.305779	0.030052	0.013293	5.064645	0.078248	15.196571	0.685182	0.221428	0.079962	0.70064	0.587187	0.904879	0.64315	0.036822	0.0	0.125886	0.441389	0.238284	3.521166	0.009507	0.73254	1.705785	0.049187	0.42111
17	14379762	14381198	MSTRG.10165.1	0.0	0.0	0.0	0.072816	0.0	0.0	0.0	0.0	0.0	0.0	0.037236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.711901
17	15190677	15190989	MSTRG.10168.1	0.0	20.733276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.316694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
